鄉鎮市區,建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查日期,銷售期間,坐落基地,建照核發日期,建造執照,第1次登記日期,編號
TOWN,BUILDCASE,LOCATION,BUILDER,HOUSEHOLD,USEZONING,MAINUSE,MAINMATERIAL,DECLAREDATE,SELLINGPERIOD,BUILDINGLANDS,BUILDINGPERMITDATE,BUILDINGPERMITNO,FIRST REGISTRATION DATE,NUMBER
內湖區,麗湖嵐天,金湖路347巷,邑軒建設股份有限公司,12,第二種住宅區,住家用,鋼筋混凝土造,1100716,自售:無;代銷:1100415~1110414;,石潭段四小段108地號,1100702,110建字第0160號,1130416,G1A01100716000100
中山區,南京葒,松江路108巷22號,復翔建設有限公司,33,第三種住宅區,住宅,RC,1100720,自售:無;代銷:1091201~1100831;,長安段三小段590地號,1090703,109建字0139號,,G1A01100720000100
北投區,力麒天沐,天母西路120巷,台新建築經理股份有限公司,42,第參種商業區、第參種住宅區,住宅,鋼骨造,1100721,自售:1100101~1111231;,振興段一小段15地號,1070207,107建字第0031號,1120303,QPPNMLLLPHGGFDA77DG
中山區,序東騰,吉林路14巷18號,東騰開發股份有限公司,37,第三種住宅區,住家用,鋼骨RC造,1100721,自售:無;代銷:1100105~自完售止;110年1月5日起至使用執照取得;,長安段三小段733地號,1100617,110建字第0143號,,G1A01100721000100
南港區,遠雄宜進I-CITY,南港區西新里成功路一段,遠雄建設事業(股)公司、光明絲織廠(股)公司、宜進實業(股)公司、大田國際開發(股)公司,98,第?種工業區,C1工廠,RC造(供公眾使用建築物),1100722,自售:無;代銷:1100719~1120316;,玉成段一小段36-8地號,1090410,109建字第0080號,1121130,QPPNMLMLPHGGFDA77CG
北投區,旺德福,台北市北投區溫泉里民族街13巷6號,德旺開發建設股份有限公司,24,第三種住宅區,住家用,鋼筋混凝土造,1100726,自售:無;代銷:1091101~1101231;,溫泉段二小段247地號,1090707,109建字第0141號,,QPPNMLQLPHGGFDA18CG
北投區,春聚,石牌路二段317號,永陞建設股份有限公司,29,第三種住宅區,住家用,鋼筋混凝土造,1100727,自售:無;代銷:1100801~1110401;,行義段四小段402地號,1100722,110建字第0182號,1140512,QPPNMLRLPHGGFDA28CG
中山區,?山,正守里林森北路67巷,廣陞建設股份有限公司,22,第參種商業區(原屬第參種住宅區),住家用、店鋪,鋼筋混凝土造,1100729,自售:1100729~自完售止;即日起至使用執照取得後六個月內;代銷:即日起至使用執照取得後六個月內;,正義段一小段341地號,1100201,110建字第0030號,1131024,G1A01100729000102
大同區,宏國大道城B區,承德路二段,臺億建築經理股份有限公司,164,第三種商業區 第四種住宅區,住商用,鋼骨造,1100730,自售:無;代銷:1100625~1111130;自公開銷售日起至結案止;,圓環段一小段329地號,1061130,106建字第0215號,1140313,YPQNMLKMPHGGFDA68DG
中山區,中山鴻鼎,中山北路二段100號,利大建設股份有限公司,52,第三種商業區,住商用,鋼筋混凝土造,1100730,自售:尚未制定明確銷售期間;,中山段四小段21地號,1100121,110建字第0017號,,QPRNMLKMPHGGFDA97DG
萬華區,友座哲園,西園路二段39巷8弄10號,壕華建設股份有限公司,64,第三種住宅區、第三之一種住宅區,住家用、商業用,鋼筋混凝土造,1100805,自售:1100810~1120809;,莒光段三小段275-1地號,1070123,107建字第0016號,,SPPNMLPJQHGGFDA18CG
中山區,中山直美,新生北路二段76巷10-20號,鐵冠建設股份有限公司,49,第四種商業區,住家用,RC造,1100809,自售:無;代銷:1090931~1121231;,吉林段四小段481地號,1100111,110建字第0003號,1140605,QPPNMLTJQHGGFDA48DG
松山區,敦北南京,南京東路四段63-1號,敦年建設股份有限公司(負責人：王悅娜),84,商三特(商二),店鋪 集合住宅,鋼筋混凝土構造,1100809,自售:無;代銷:1100715~1160607;,美仁段一小段450地號,1100707,110建字第 0166號,1140110,RPPNMLTJQHGGFDA48CG
北投區,一青。悠,溫泉路67號,巴迪資產管理股份有限公司,27,特定觀光商業專用區,住家用,鋼筋混凝土造,1100810,自售:1100420~1101231;,溫泉段一小段186地號,1081223,108建字第0252號,,G2A01100810000100
大安區,敦南竣,四維路170巷11號,騰竣建設有限公司,20,第三種住宅區,店鋪 集合住宅,鋼筋混凝土造,1100816,自售:無;代銷:1091001~1101231;,大安段二小段85地號,1100812,110建字第0199號,,G1A01100816000100
南港區,八方玥,台北市南港區市民大道八段與南港路一段137巷巷口,僑馥建築經理股份有限公司(佳宸建設股份有限公司),19,第三種住宅區,店鋪住家用,鋼筋混凝土造,1100818,自售:110901~1110430;,南港段二小段485地號,1050729,105建字第0133號,1130507,G1A01100818000100
北投區,璞晛,文林北路,台新建築經理股份有限公司,66,第三之二種住宅區,集合住宅,鋼構造,1100818,自售:無;代銷:1100622~自完售止;起始日110.06.22起至使用執照取得日止;,文林段三小段915-2地號,1100728,110建字第0188號,,RPPNMLSKQHGGFDA58DG
大同區,城心曜曜,承德路二段146號,士林開發股份有限公司,227,第四之一種住宅區(特) 第四種住宅區(特),住家用、住商用,鋼骨鋼筋混凝土造,1100820,自售:無;代銷:1100810~自完售止;至使照取得後一年;,雙連段三小段1地號,1100302,110建字第0053號,,UPRNMLKLQHGGFDA28CG
北投區,遠雄商舟,洲美里福美路與褔善路,遠雄建設事業股份有限公司,70,科技產業專用區(不得作住宅使用),商業用,鋼筋混凝土造,1100820,自售:無;代銷:1100626~1130531;委託代銷;,新洲美段35地號,1100514,110建字第0120號,1140625,G1A01100820000100
士林區,天母桓琚,天母東路105巷9弄6號 共20筆,桓鉅建設股份有限公司 李幹樂,34,第二種住宅區,住家用,鋼筋混凝土造,1100824,自售:無;代銷:1100812~自完售止;銷售至完銷為止;,天山段二小段114地號,1100331,110建字第0083號,,SPPNMLOLQHGGFDA28CG
北投區,奇岩綠境,公?路255巷1弄11號1樓,嘉興發股份有限公司,61,第三種住宅區,集合住宅 店鋪,鋼筋混凝土構造,1100827,自售:無;代銷:1100901~1101130;,奇岩段三小段1-1地號,1100819,110建字第0207號,,QPPNMLRLQHGGFDA48DG
中正區,Vigorlin 東門,信義路二段79巷32號,佳毅國際有限公司代表人：林隆毅,16,第三種住宅區,住商用,鋼筋混凝土造,1100830,自售:1100801~1140831;,中正段二小段294地號,1090914,109建字第0206號,1140610,G2A01100830000103
大同區,雲極,雙連里歸綏街160巷13弄1號1樓,三豐建設股份有限公司   負責人：洪敏夫,212,第三種商業區,一樓為一般零售業；二至二十四為集合住宅,鋼骨RC造,1100830,自售:1100901~1151231;代銷:1091014~1111031;,雙連段三小段810地號,1100811,110建字第0196號,,SPPNMLKMQHGGFDA97CG
內湖區,澧鈺12,內湖路二段179巷47號,品宣建設有限公司,12,第二種住宅區,集合住宅,RC,1100831,自售:1121001~1131231;代銷:1100815~1101215;,碧湖段二小段749地號,1100721,110建字第0181號,,G1A01100831000203
內湖區,基泰碧湖,內湖區內湖路一段,基泰建設股份有限公司,81,住3、住3-1,住商用,鋼筋混凝土造,1100902,自售:無;代銷:1100412~1130412;,碧湖段三小段657地號,1040916,104建字第0219號,,SPPNMLMJRHGGFDA97CG
中山區,璞園.榮,林森北路,璞永建設股份有限公司,113,第四種商業區(原屬第三種商業區及第三種住宅區),住家用,鋼骨鋼筋混凝土造,1100909,自售:無;代銷:1100809~1110731;,正義段二小段315地號,1100112,110建字第0006號,,QPQNMLTJRHGGFDA68DG
信義區,信義藏豐,吳興街190巷,君壘建設股份有限公司,14,第三種住宅區,住商用,鋼筋混凝土造,1100914,自售:1100914~1151231;,三興段二小段430地號,1071024,107建字第206號,,G1A01100914000103
萬華區,久年慕舍,西門里昆明街178巷2之1號2樓共12筆,久年置地股份有限公司(代表人:郭彥君)等13名,50,第四種商業區,住家用,鋼筋混凝土造,1100916,自售:無;代銷:1100910~1110309;,漢中段一小段706地號,1100419,110建字第0093號,1141001,QPPNMLQKRHGGFDA28CG
大安區,太平洋敦南麗舍,敦化南路一段177巷49號,太平洋建設股份有限公司,46,第四種住宅區,住商用,鋼筋混凝土造,1100917,自售:無;代銷:1100501~1110131;視銷售狀況調整;,仁愛段六小段305地號,1100423,110建字第0102號,,QPSNMLRKRHGGFDA68CG
內湖區,光里蘊,行善路上,富樂群建設股份有限公司 負責人：莊子華 等4名,45,住商混合區 (為容積接受區),住商用,鋼筋混凝土構造,1100917,自售:自行保留;代銷:1100830~1110830;建照取得進場後12個月;,潭美段五小段149-1地號,1100830,(110)建字第0212號,,G1A01100917000100
中山區,誠美知寓,南京東路三段194巷1弄2號,誠美建築開發股份有限公司,31,第三種住宅區,住家用,RC鋼筋混泥土,1100920,自售:無;代銷:1100628~1110427;110.6.28~111.4.27;,長安段一小段56-1地號,1100513,110建字第0117號,,QPPNMLKLRHGGFDA77CG
中山區,原樹,中原街112號,郭春利,33,第三種住宅區,住商用,RC造,1100923,自售:1120501~1130331;代銷:1100801~1110430;,吉林段三小段258地號,1100119,110建字第0012號,,UPPNMLNLRHGGFDA58DG
大同區,有鄰,隆和里重慶北路三段9巷2號2樓 共8筆 詳附件,年豐建設股份有限公司,59,第三種商業區、第四種住宅區 等2項詳附件,住商用,鋼筋混凝土造,1100924,自售:無;代銷:110年12月13日?使照取得6個月止;,大同段二小段898地號,1100816,110建字第0200號,1140815,QPPNMLOLRHGGFDA18CG
中正區,寶舖care,羅斯福路3段,寶舖建設股份有限公司,69,第?種商業區(原屬商貳)、第?種商業區(原屬住?),住商用,鋼筋混凝土造,1100928,自售:1100801~1101231;代銷:1090615~1101215;,福和段一小段492地號,1100503,110建字第0109號,,QPPNMLSLRHGGFDA58CG
大同區,永保安康,保安街,金騰開發建設股份有限公司 代表人：徐金銓,47,第三種商業區及特定專用區(供一般商業使用),一般零售業甲組及多戶住宅,鋼筋混凝土造,1100928,自售:無;代銷:1101001~1110331;公開銷售日起算6個月;,延平段一小段502地號,1090724,109建字第0159號,,QPVNMLSLRHGGFDA66DG
