編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLSJJIJGFGF78DA,42,70.00,住家用,鋼筋混凝土造,71年7月20日,五層,四層 陽台,全筆移轉
RPSNMLQJJIJGFGF58EA,30,23.22,共有部分,鋼筋混凝土造,83年9月26日,七層,,持分移轉
RPOOMLLJJIJGFHF77DA,,16.86,,,,,,持分移轉
RPTNMLOJJIJGFEF18DA,14,41.79,店舖,鋼筋混凝土造,100年1月14日,十一層,一層,全筆移轉
RPTNMLOJJIJGFEF18DA,14,64.78,本共有部分之項目有：管委會共同使用空間、陽台、車道、機車車道、門廳、梯廳、樓電梯間、儲藏空間、停車空間、電信機房、電信箱、台電配電室、垃圾車停車位、垃圾處理空間、受電箱、發電機房、機械室、水箱、電梯間、蓄水池、污水機房、消防機房等２２項。,鋼筋混凝土造,100年1月14日,十一層,,持分移轉
RPSNMLLKJIJGFEF87DA,37,100.04,住家用,鋼筋混凝土造,76年9月3日,五層,二層 陽台,全筆移轉
RPSNMLLKJIJGFEF87DA,37,7.84,共有部分,鋼筋混凝土造,76年9月3日,,,持分移轉
RPPNMLSJJIJGFEF18DA,44,92.16,住家用,鋼筋混凝土造,69年12月17日,四層,一層 平台,全筆移轉
RPOPMLRJJIJGFEF18DA,28,22.23,住家用,鋼筋混凝土造,85年11月16日,十七層,五層 陽台,全筆移轉
RPOPMLRJJIJGFEF18DA,28,4.12,共有部分,鋼筋混凝土造,85年11月16日,十七層,,持分移轉
RPOPMLRJJIJGFEF18DA,28,1.33,共有部分,鋼筋混凝土造,85年11月16日,十七層,,持分移轉
RPOPMLRJJIJGFEF18DA,28,10.58,共有部分,鋼筋混凝土造,85年11月16日,十七層,,持分移轉
RPQNMLMKJIJGFFF97EA,,99.62,住家用,加強磚造,,三層,一層 騎樓,全筆移轉
RPQNMLMKJIJGFEF87EA,28,21.56,住家用,鋼筋混凝土造,86年2月4日,十層,五層 陽台,全筆移轉
RPQNMLMKJIJGFEF87EA,28,4.82,共有部分,鋼筋混凝土造,86年2月4日,十層,,持分移轉
RPQNMLMKJIJGFEF87EA,28,.66,共有部分,鋼筋混凝土造,86年2月4日,十層,,持分移轉
RPQNMLMKJIJGFEF87EA,28,4.99,共有部分,鋼筋混凝土造,86年2月4日,十層,,持分移轉
RPWNMLLKJIJGFEF28DA,10,86.65,住家用,鋼筋混凝土造,104年4月30日,十五層,十五層 陽台 雨遮,全筆移轉
RPWNMLLKJIJGFEF28DA,10,48.91,本共有部分之項目有：管委會空間、門廳、供公眾停車空間、梯間、機車坡道、電信機房、垃圾暫存室、台電配電場所、水池機房、停車空間、陽台、機房、蓄水池、發電機室、防空避難室兼停車空間、獎停專用梯、消防機房等１７項。,鋼筋混凝土造,104年4月30日,十五層,,持分移轉
RPWNMLLKJIJGFEF28DA,10,22.88,本共有部分之項目有：梯間、機械室、水箱等３項,鋼筋混凝土造,104年4月30日,十五層,,持分移轉
RPTNMLNKJIJGFHF58EA,55,111.88,住家用,加強磚造,58年6月19日,四層,一層 陽台,全筆移轉
RPVQMLLKJIJGFEF48DA,34,24.28,住商用,鋼筋混凝土造,80年3月14日,五層,陽台 地下一層,全筆移轉
RPVQMLLKJIJGFEF48DA,34,5.04,共有部份,鋼筋混凝土造,80年3月14日,五層,,持分移轉
RPVQMLLKJIJGFEF48DA,34,.80,共有部份,鋼筋混凝土造,80年3月14日,五層,,持分移轉
RPVQMLLKJIJGFEF48DA,34,1.28,共有部份,鋼筋混凝土造,80年3月14日,五層,,持分移轉
RPVQMLLKJIJGFEF48DA,34,2.03,共有部份,鋼筋混凝土造,80年3月14日,五層,,持分移轉
RPVQMLLKJIJGFEF48DA,34,3.67,共有部份,鋼筋混凝土造,80年3月14日,七層,,持分移轉
RPVQMLLKJIJGFEF48DA,34,1.10,共有部份,鋼筋混凝土造,80年3月14日,五層,,持分移轉
