編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVPMLQJRHIGFBF09DA,20,9.97,住家用,鋼筋混凝土造,92年12月25日,十二層,五層 陽台,持分移轉
RPVPMLQJRHIGFBF09DA,20,1.71,共有部份,鋼筋混凝土造,92年12月25日,十二層,,持分移轉
RPVPMLQJRHIGFBF09DA,20,1.02,共有部份,鋼筋混凝土造,92年12月25日,十二層,,持分移轉
RPRNMLRJQHIGFCF58DA,10,14.47,停車空間,鋼筋混凝土造,102年11月8日,八層,地下四層 地下五層,持分移轉
RPRNMLRJQHIGFCF58DA,10,17.49,本共有部分項目有：防空避難室、防空避難室兼停車空間、停車空間、甲棟台電配電場所、乙台電配電場所、丙台電配電場所、台電配電場所（丁）、發電機房、發電機房一、電信機房、Ｈ電信機房、台電管道間（１）、台電管道間（２）、消防機房、消防機房二、污水池專用機電室、中央管理室（消防、機電用）、Ａ梯廳、Ａ樓梯間、Ｂ廳梯、Ｃ梯廳、Ｃ樓梯間、Ｄ梯廳、Ｄ樓梯間、Ｅ梯廳、Ｅ樓梯間、Ｆ梯廳、Ｆ樓梯間、Ｇ梯廳、Ｇ樓梯間、Ｈ梯廳、Ｈ１梯、Ｈ２梯、Ｋ樓梯、Ｌ樓梯、Ｍ梯廳、Ｍ門廳、Ａ蓄水池、Ｂ蓄水池、Ｃ蓄水池、Ｄ蓄水池、Ｅ蓄水池、Ｆ蓄水池、Ｇ蓄水池、Ｈ蓄水池、Ｉ蓄水池、Ｊ蓄水池、Ｋ蓄水池等４８項。,鋼筋混凝土造,102年11月8日,八層,,持分移轉
RPQNMLRJQHIGFCF48DA,19,32.97,共有部份,鋼筋混凝土造,93年11月24日,八層,,持分移轉
RPQNMLRJQHIGFCF48DA,19,32.97,共有部份,鋼筋混凝土造,93年11月24日,八層,,持分移轉
RPQNMLRJQHIGFCF48DA,19,32.97,共有部份,鋼筋混凝土造,93年11月24日,八層,,持分移轉
RPQPMLTJQHIGFEF09DA,33,29.80,住家用,鋼筋混凝土造,79年8月28日,十四層,八層 陽台,全筆移轉
RPQPMLTJQHIGFEF09DA,33,13.28,共有部份,鋼筋混凝土造,79年8月28日,十四層,,持分移轉
RPRNMLLKQHIGFEF38EA,27,.21,共有部份,鋼筋混凝土造,85年5月28日,七層,,持分移轉
RPRNMLLKQHIGFEF38EA,27,38.82,住家用,鋼筋混凝土造,85年6月1日,十三層,五層 陽台 花台,全筆移轉
RPRNMLLKQHIGFEF38EA,27,.30,共有部份,鋼筋混凝土造,85年6月1日,十四層,,持分移轉
RPRNMLLKQHIGFEF38EA,27,11.60,共有部份,鋼筋混凝土造,85年6月1日,十三層,,持分移轉
RPUNMLKKQHIGFGF78EA,23,79.15,住家用,鋼筋混凝土造,89年4月27日,五層,二層 陽台,全筆移轉
RPUNMLKKQHIGFGF78EA,23,12.12,共有部份,鋼筋混凝土造,89年4月27日,五層,,持分移轉
RPQNMLLKQHIGFEF28EA,33,24.45,住家用,鋼筋混凝土造,79年5月24日,五層,五層 陽台,全筆移轉
RPQNMLLKQHIGFEF28EA,33,4.96,樓梯間、走道,鋼筋混凝土造,79年5月24日,五層,,持分移轉
RPQNMLLKQHIGFEF28EA,33,1.19,屋頂突出物、水箱、機械房,鋼筋混凝土造,79年5月24日,五層,,持分移轉
RPVNMLSJQHIGFDF56DA,7,34.88,本共有部分之項目有：管委會使用空間、停車空間、台電配電室、緊急發電機室、景觀機房、垃圾儲藏室、電信室、梯間、停車空間兼防空避難室、消防泵浦室、水箱、污水處理機房等１２項。,鋼筋混凝土構造,105年7月11日,十一層,,持分移轉
RPQOMLLKQHIGFEF38EA,42,103.73,住家用,加強磚造,70年9月5日,二層,一層 二層 陽台 平台,持分移轉
RPPNMLLKQHIGFHF38DA,29,31.31,人行道、店舖,鋼筋混凝土造,83年4月9日,十二層,一層 平台 騎樓,持分移轉
RPPNMLLKQHIGFHF38DA,29,5.54,共有部份,鋼筋混凝土造,83年4月9日,十二層,,持分移轉
RPQNMLOKQHIGFHF88EA,26,39.69,共有部份,鋼筋混凝土造,86年7月5日,十二層,,持分移轉
RPSNMLOKQHIGFBF48EA,42,48.02,住家用,鋼筋混凝土造,70年12月28日,五層,一層 平台,持分移轉
RPVNMLSJQHIGFEF66DA,34,20.60,住家用,鋼筋混凝土造,78年3月10日,五層,五層 陽台 花台,全筆移轉
RPVNMLSJQHIGFEF66DA,34,8.32,共有部份,鋼筋混凝土造,78年3月10日,五層,,持分移轉
RPQSMLTJQHIGFBF09DA,29,62.65,住家用,鋼筋混凝土造,83年5月20日,九層,九層 陽台,全筆移轉
