編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPROMLNJJIGGFEF67DA,26,83.65,住家用,鋼筋混凝土造,84年11月17日,七層,七層 陽台,全筆移轉
RPROMLNJJIGGFEF67DA,26,38.32,共有部份,鋼筋混凝土造,84年11月17日,七層,,持分移轉
RPROMLNJJIGGFEF67DA,26,5.30,共有部份,鋼筋混凝土造,84年11月17日,七層,,持分移轉
RPUNMLSJJIGGFCF18DA,30,33.97,見使用執照,鋼骨鋼筋混凝土造,81年3月7日,十六層,地下二層 地下三層,持分移轉
RPUNMLSJJIGGFCF18DA,30,3.12,共有部份,鋼筋混凝土造,81年3月7日,十六層,,持分移轉
RPPNMLSJJIGGFFF97DA,8,88.38,店鋪,鋼筋混凝土造,103年4月7日,四層,一層 陽台 騎樓,全筆移轉
RPPNMLSJJIGGFFF97DA,8,8.72,共有部分項目：樓梯間、防空避難室,鋼筋混凝土造,103年4月7日,四層,,持分移轉
RPSTMLLJJIGGFCF87DA,14,.02,共有部份,鋼筋混凝土造,97年3月19日,八層,,持分移轉
RPSTMLLJJIGGFCF87DA,14,33.97,停車空間,鋼筋混凝土造,97年3月19日,八層,地下一層,持分移轉
RPPQMLLKJIGGFHF97EA,41,72.00,住家用,鋼筋混凝土造,69年9月20日,五層,五層 陽台,全筆移轉
RPQQMLLKJIGGFDF57DA,41,107.54,住家用,鋼筋混凝土造,69年9月4日,四層,二層 陽台,全筆移轉
RPPNMLMKJIGGFCF27EA,48,1.04,住家用,鋼筋混凝土造,63年2月15日,四層,四層 陽台,持分移轉
RPROMLMKJIGGFDF57DA,22,39.19,住家用,鋼筋混凝土造,89年5月4日,十四層,十一層 陽台,全筆移轉
RPROMLMKJIGGFDF57DA,22,2.94,共有部份,鋼筋混凝土造,89年5月4日,十四層,,持分移轉
RPROMLMKJIGGFDF57DA,22,9.69,共有部份,鋼筋混凝土造,89年5月4日,十四層,,持分移轉
RPROMLMKJIGGFDF57DA,22,49.46,共有部份,鋼筋混凝土造,89年5月4日,十四層,,持分移轉
RPUQMLOJJIGGFEF28DA,31,24.45,住家用,鋼筋混凝土造,79年5月24日,五層,二層 陽台,全筆移轉
RPUQMLOJJIGGFEF28DA,31,4.96,樓梯間、走道,鋼筋混凝土造,79年5月24日,五層,,持分移轉
RPUQMLOJJIGGFEF28DA,31,1.19,屋頂突出物、水箱、機械房,鋼筋混凝土造,79年5月24日,五層,,持分移轉
RPSOMLMKJIGGFHF18EA,22,.22,住家用,鋼筋混凝土造,88年7月8日,十四層,四層 陽台,持分移轉
RPSOMLMKJIGGFHF18EA,22,.04,共有部份,鋼筋混凝土造,88年7月8日,十四層,,持分移轉
RPSOMLMKJIGGFHF18EA,22,17.50,共有部份,鋼筋混凝土造,88年7月8日,十四層,,持分移轉
RPUOMLTJJIGGFBF28DA,5,46.34,本共有部分之項目有：自行車空間、梯廳、梯間、陽台、雨遮、管委會空間、防空避難室兼停車空間、排煙室、台電配電場所、垃圾儲藏空間、垃圾車暫停車位、機坑、電信機房、停車空間、蓄水池、發電機房、機房、消防機房等１８項。,鋼筋混凝土造,106年4月19日,十五層,,持分移轉
RPOPMLTJJIGGFBF77DA,5,.11,本共有部分之項目有：自行車空間、梯廳、梯間、陽台、雨遮、管委會空間、防空避難室兼停車空間、排煙室、台電配電場所、垃圾儲藏空間、垃圾車暫停車位、機坑、電信機房、停車空間、蓄水池、發電機房、機房、消防機房等１８項。,鋼筋混凝土造,106年4月19日,十五層,,持分移轉
RPWOMLRJKIGGFDF68EA,21,86.63,住家用,鋼筋混凝土造,89年8月19日,十六層,二層 陽台 雨遮,全筆移轉
RPWOMLRJKIGGFDF68EA,21,6.44,共有部分,鋼筋混凝土造,89年8月19日,十六層,,持分移轉
RPWOMLRJKIGGFDF68EA,21,19.54,共有部分,鋼筋混凝土造,89年8月19日,十六層,,持分移轉
