編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLRJOHHGFCF78DA,14,.02,共有部份,鋼筋混凝土造,97年3月19日,八層,,持分移轉
RPWNMLRJOHHGFCF78DA,14,33.97,停車空間,鋼筋混凝土造,97年3月19日,八層,地下一層,持分移轉
RPXRMLSJOHHGFHF37EA,14,58.30,共有部份,鋼筋混凝土造,97年9月30日,十五層,,持分移轉
RPWNMLQJNHHGFCF68EA,28,113.96,住家用,鋼筋混凝土造,82年11月22日,十七層,八層 陽台,全筆移轉
RPWNMLQJNHHGFCF68EA,28,18.04,共有部份,鋼筋混凝土造,82年11月22日,十七層,,持分移轉
RPQPMLNJNHHGFCF97EA,32,15.16,見使用執照,鋼筋混凝土造,79年3月15日,四層,地下一層 地下二層,持分移轉
RPQPMLNJNHHGFCF97EA,32,77.86,住家用,鋼筋混凝土造,79年6月19日,四層,二層 三層 四層 陽台 屋頂突出物,持分移轉
RPVNMLQJNHHGFIF56EA,40,86.40,住家用,鋼筋混凝土造,71年2月20日,四層,三層 陽台,全筆移轉
RPSPMLTJNHHGFDF78DA,5,39.46,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,十二層 陽台,持分移轉
RPWNMLQJNHHGFIF66EA,40,86.40,住家用,鋼筋混凝土造,71年2月20日,四層,一層 平台,全筆移轉
RPUNMLTJNHHGFEF98EA,20,.23,辦公室、店舖,鋼筋混凝土造,91年8月27日,六層,一層,持分移轉
RPUNMLTJNHHGFEF98EA,20,.06,共有部分,鋼筋混凝土造,91年8月27日,六層,,持分移轉
RPUNMLTJNHHGFEF98EA,20,44.13,共有部分,鋼筋混凝土造,91年8月27日,六層,,持分移轉
RPUNMLTJNHHGFEF98EA,20,.03,共有部分,鋼筋混凝土造,91年8月27日,六層,,持分移轉
RPOQMLTJNHHGFBF28DA,40,88.12,住家用,鋼筋混凝土造,70年12月23日,五層,二層 陽台,全筆移轉
RPROMLQJNHHGFIF88EA,25,31.85,共有部分,鋼筋混凝土造,86年10月24日,七層,,持分移轉
RPSOMLQJNHHGFIF98EA,25,31.85,共有部分,鋼筋混凝土造,86年10月24日,七層,,持分移轉
RPQNMLMKNHHGFFF97DA,,109.73,住家用,鋼筋混凝土造,,五層,三層 陽台,全筆移轉
RPVOMLNJNHHGFDF38DA,43,77.90,住家用,鋼筋混凝土造,68年9月26日,四層,一層 平台,全筆移轉
RPSNMLMKNHHGFAF67DA,26,.34,商業用,鋼筋混凝土造,85年8月9日,七層,一層 陽台,持分移轉
RPSNMLMKNHHGFAF67DA,26,.03,共有部份,鋼筋混凝土造,85年8月9日,七層,,持分移轉
