編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUPMLPJQHHGFBF78EA,6,48.61,集合住宅,鋼筋混凝土造,106年1月9日,十九層,七層 陽台 雨遮,持分移轉
RPUPMLPJQHHGFBF78EA,6,56.48,本共有部分之項目有：管委會使用空間、門廊、梯廳兼排煙室、樓電梯間、梯廳、樓梯間、自行車停車空間、陽台、防災中心、機械室、水箱、防空避難室兼停車空間、排煙室、泳池機房、垃圾儲存室、發電機室、垃圾專用車位、機車停車空間、台電配電場所、受電箱室、停車空間、電信室、蓄水池、排風機房、公共蓄水池、消防蓄水池、消防泵浦室共２７項。,鋼筋混凝土造,106年1月9日,十九層,,持分移轉
RPOQMLPJQHHGFHF78DA,2,46.32,店舖，集合住宅,鋼筋混凝土構造,109年12月2日,二十三層,一層 二層,持分移轉
RPOQMLPJQHHGFHF78DA,2,6.87,本共有部分項目有梯廳、警衛室、機車車道、停車空間、管委會使用空間、自行車停車空間、排風機房、防災中心、機車停車空間、台電管道間、緊急發電機、受電箱、台電配電場所、垃圾處理室、垃圾暫停車區、電氣室、泳池機房、電信室、排風管道、雨水．噴灌機房、機房、消防泵浦室、公共水箱、水箱機房等二十四項。,鋼筋混凝土構造,109年12月2日,二十三層,,持分移轉
RPOQMLPJQHHGFHF78DA,2,17.98,本共有部分項目有梯廳兼排煙室、梯廳、中繼機房、水箱、陽台、梯間、排煙室、機房、水錶室、民生水箱、消防水箱、電梯機房、水箱機房、電表室等十四項。,鋼筋混凝土構造,109年12月2日,二十三層,,持分移轉
RPOQMLPJQHHGFHF78DA,2,15.81,本共有部分項目有停車空間、汽車車道、防空避難室兼停車空間等三項。,鋼筋混凝土構造,109年12月2日,二十三層,,持分移轉
RPPNMLPJQHHGFHF68EA,45,82.66,住家用,鋼筋混凝土造,66年10月18日,四層,三層,全筆移轉
RPQNMLSJQHHGFEF78EA,28,188.97,住家用,鋼筋混凝土造,83年2月21日,七層,六層 七層 陽台 露台 花台,全筆移轉
RPQNMLSJQHHGFEF78EA,28,30.05,共有部分,鋼筋混凝土造,83年2月21日,七層,,持分移轉
RPTNMLTJQHHGFDF98DA,1,6.33,集合住宅,鋼筋混凝土構造,110年12月9日,二十三層,十八層 陽台 雨遮,持分移轉
RPTNMLTJQHHGFDF98DA,1,6.58,共有部分，本共有部分項目有：防災中心、甲梯特別安全梯、乙梯特別安全梯、丙梯特別安全梯、梯廳、梯廳兼排煙室、陽台、走道、電信室、發電機室、電表區、垃圾貯藏室、垃圾車暫停區、台電配電場所、水箱、汙水／雨水機房、消防水箱、昇降機、消防機房／中繼機房、梯間、電梯機房、車道、防空避難室兼停車空間、停車空間、受電箱、機房、管委會、中繼機房等２８項。,鋼筋混凝土構造,110年12月9日,二十三層,,持分移轉
RPROMLMJQHHGFEF28DA,9,.78,住家用,鋼筋混凝土造,102年11月11日,二十三層,十九層 陽台 雨遮,持分移轉
RPROMLMJQHHGFEF28DA,9,.32,本案共有部分項目有健身房、門廳、樓電梯間、緩衝空間、陽台、排煙室、梯廳、停車空間、台電配電所、發電機室、防災中心、水箱、水池機房、電信機房、消防水箱、機械室、消防泵浦室、消防水池、溫泉水箱、水池等２０項,鋼筋混凝土造,102年11月11日,二十三層,,持分移轉
RPVOMLTJQHHGFDF66DA,23,84.70,停車空間,鋼筋混凝土造,88年12月9日,十層,地下一層,持分移轉
RPVOMLTJQHHGFDF66DA,23,2.33,共有部分,鋼筋混凝土造,88年12月9日,十層,,持分移轉
RPSQMLNJQHHGFEF78EA,26,46.07,住家用,鋼筋混凝土造,85年9月12日,十二層,五層 陽台 雨遮,全筆移轉
