編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRRMLLJRHGGFGF68DA,29,24.08,停車場兼防空避難室,鋼筋混凝土造,81年10月12日,十二層,地下二層,持分移轉
RPRNMLQJQHGGFHF88EA,43,.77,住家用,鋼筋混凝土造,67年11月29日,四層,三層 陽台,持分移轉
RPPOMLKKQHGGFBF57DA,26,51.83,住家用,鋼筋混凝土造,84年5月16日,十二層,六層 陽台 花台 見其他登記事項,全筆移轉
RPPOMLKKQHGGFBF57DA,26,6.65,共有部份,鋼筋混凝土造,84年5月16日,十二層,,持分移轉
RPPOMLKKQHGGFBF57DA,26,1.71,共有部份,鋼筋混凝土造,84年5月16日,十二層,,持分移轉
RPPOMLKKQHGGFBF57DA,26,9.85,共有部份,鋼筋混凝土造,84年5月16日,十二層,,持分移轉
RPSQMLQJQHGGFAF48DA,21,13.85,防空避難室兼停車空間等公共設施,鋼骨混凝土造,89年10月12日,二十二層,,持分移轉
RPWOMLKKQHGGFIF09EA,,88.00,住家用,加強磚造,,二層,一層 二層 陽台 平台,全筆移轉
RPWOMLOJQHGGFAF48DA,,34.87,住家用,鋼筋混凝土造,,十二層,六層 陽台 花台 雨遮,持分移轉
RPWOMLOJQHGGFAF48DA,,4.18,共有部份,鋼筋混凝土造,,十二層,,持分移轉
RPPNMLMKQHGGFHF38EA,34,33.57,住家用,鋼筋混凝土造,76年7月28日,五層,四層 陽台,持分移轉
RPXPMLPJQHGGFHF86DA,27,20.33,共有部份,鋼筋混凝土造,83年11月15日,二十六層,,持分移轉
RPPPMLLKQHGGFAF77EA,,52.53,住家用,加強磚造,,四層,二層,持分移轉
RPQNMLOJQHGGFIF58DA,39,68.77,住家用,鋼筋混凝土造,71年11月6日,五層,一層 平台,全筆移轉
RPRNMLNKQHGGFEF38EA,19,60.41,住家用,鋼筋混凝土造,91年8月30日,六層,二層 陽台,全筆移轉
RPRNMLNKQHGGFEF38EA,19,15.60,共有部分,鋼筋混凝土造,91年8月30日,六層,,持分移轉
RPWNMLQJQHGGFDF88DA,21,39.34,住家用,鋼筋混凝土造,89年5月4日,十四層,八層 陽台,全筆移轉
RPWNMLQJQHGGFDF88DA,21,2.83,共有部分,鋼筋混凝土造,89年5月4日,十四層,,持分移轉
RPWNMLQJQHGGFDF88DA,21,9.46,共有部分,鋼筋混凝土造,89年5月4日,十四層,,持分移轉
RPWNMLQJQHGGFDF88DA,21,5.90,共有部分,鋼筋混凝土造,89年5月4日,十四層,,持分移轉
RPOOMLLKQHGGFGF08DA,25,22.44,住家用,鋼筋混凝土造,86年2月4日,七層,七層,全筆移轉
RPOOMLLKQHGGFGF08DA,25,.28,商業用,鋼筋混凝土造,86年2月4日,十二層,八層,持分移轉
RPOOMLLKQHGGFGF08DA,25,7.31,共有部分,鋼筋混凝土造,86年2月4日,十二層,,持分移轉
RPOOMLLKQHGGFGF08DA,25,.00,共有部分,鋼筋混凝土造,86年2月4日,十二層,,持分移轉
RPOOMLLKQHGGFGF08DA,25,5.67,共有部分,鋼筋混凝土造,86年2月4日,十二層,,持分移轉
RPOOMLLKQHGGFGF08DA,25,.00,共有部分,鋼筋混凝土造,86年2月4日,十二層,,持分移轉
RPOOMLLKQHGGFGF08DA,25,.00,共有部分,鋼筋混凝土造,86年2月4日,十二層,,持分移轉
RPOOMLLKQHGGFGF08DA,25,.00,共有部分,鋼筋混凝土造,86年2月4日,十二層,,持分移轉
RPOOMLLKQHGGFGF08DA,25,.00,共有部分,鋼筋混凝土造,86年2月4日,十二層,,持分移轉
RPOOMLLKQHGGFGF08DA,25,.06,警衛室,鋼筋混凝土造,86年2月4日,十二層,一層,持分移轉
RPVNMLMKQHGGFHF98EA,10,.02,一般零售場所,鋼骨鋼筋混凝土構造,100年4月22日,十九層,一層,持分移轉
RPVNMLMKQHGGFHF98EA,10,.00,本共有部分之項目有Ａ樓梯間、Ａ梯廳、Ｆ樓梯間、騎樓、無障礙昇降機、緊急昇降機、發電機房、電信機房、蓄水池、昇降機管道、台電管道間Ａ１、Ｅ樓梯間、台電配電場所Ａ、管道間、機車昇降機、電梯機坑、一般昇降機、防災中心、儲藏室Ａ、消防幫浦室、污水機房、Ｂ樓梯間、儲藏室Ｂ、垃圾收集室Ａ、防空避難室兼停車空間、垃圾收集室Ｂ。,鋼骨鋼筋混凝土構造,100年4月22日,十九層,,持分移轉
RPVNMLMKQHGGFHF98EA,10,.01,本共有部分之項目有Ｃ梯廳、Ｄ梯廳、騎樓、Ｃ樓梯間、Ｄ樓梯間、雨遮、Ａ梯廳兼排煙室、Ｂ梯廳兼排煙室、安全梯、電梯機房、陽台、水箱、電梯機坑、機房。,鋼骨鋼筋混凝土構造,100年4月22日,十九層,,持分移轉
RPVNMLMKQHGGFHF98EA,10,.00,本共有部分之項目有Ａ樓梯間、水箱、機房Ａ、屋頂突出物〈一〉、屋頂突出物〈二〉。,鋼骨鋼筋混凝土構造,100年4月22日,十九層,,持分移轉
RPVNMLMKQHGGFHF98EA,10,.00,本共有部分之項目有Ｄ樓梯間、Ｄ梯廳、騎樓、緊急昇降機、雨遮、Ｂ樓梯間、水箱、機房Ｂ、陽台、屋頂突出物〈一〉、屋頂突出物〈二〉。,鋼骨鋼筋混凝土構造,100年4月22日,十九層,,持分移轉
RPVNMLMKQHGGFHF98EA,10,5.52,本共有部分之項目有鋼瓶室、等候空間、汽車停車塔。,鋼骨鋼筋混凝土構造,100年4月22日,十九層,,持分移轉
RPXPMLQKQHGGFBF09DA,34,92.45,住家用,鋼筋混凝土造,76年6月15日,五層,五層 陽台,全筆移轉
RPQPMLOJQHGGFAF97DA,22,27.58,住家用,鋼筋混凝土造,88年7月20日,十二層,八層 陽台,全筆移轉
RPQPMLOJQHGGFAF97DA,22,2.73,防空避難室兼停車空間、門廳、社區辦公室、陽台,鋼筋混凝土造,88年7月20日,十二層,,持分移轉
RPQPMLOJQHGGFAF97DA,22,7.08,電樓梯間、樓梯間門廳、機房、水箱、瞭望台,鋼筋混凝土造,88年7月20日,十二層,,持分移轉
RPWOMLNKQHGGFHF56DA,22,187.25,工商用,鋼筋混凝土造,88年2月27日,十八層,四層,全筆移轉
RPWOMLNKQHGGFHF56DA,22,4.11,工業用,鋼筋混凝土造,88年2月27日,十八層,地下一層,持分移轉
RPWOMLNKQHGGFHF56DA,22,27.26,共有部分,鋼筋混凝土造,88年2月27日,十八層,,持分移轉
RPWOMLNKQHGGFHF56DA,22,61.52,共有部分,鋼筋混凝土造,88年2月27日,十八層,,持分移轉
RPWOMLNKQHGGFHF56DA,22,33.07,共有部分,鋼筋混凝土造,88年2月27日,十八層,,持分移轉
RPPRMLQJQHGGFHF98DA,1,84.15,集合住宅,鋼筋混凝土構造,109年12月2日,二十三層,十二層 陽台 雨遮,全筆移轉
RPPRMLQJQHGGFHF98DA,1,10.98,本共有部分項目有梯廳、警衛室、機車車道、停車空間、管委會使用空間、自行車停車空間、排風機房、防災中心、機車停車空間、台電管道間、緊急發電機、受電箱、台電配電場所、垃圾處理室、垃圾暫停車區、電氣室、泳池機房、電信室、排風管道、雨水．噴灌機房、機房、消防泵浦室、公共水箱、水箱機房等二十四項。,鋼筋混凝土構造,109年12月2日,二十三層,,持分移轉
RPPRMLQJQHGGFHF98DA,1,3.47,本共有部分項目有管委會空間、陽台、過道、管委會空間（游泳池）、管委會空間（閱讀交誼區）、游泳水箱等六項。,鋼筋混凝土構造,109年12月2日,二十三層,,持分移轉
RPPRMLQJQHGGFHF98DA,1,28.52,本共有部分項目有梯廳兼排煙室、梯廳、中繼機房、水箱、梯間、排煙室、機房、水錶室、民生水箱、消防水箱、電梯機房、水箱機房、電表室等十三項。,鋼筋混凝土構造,109年12月2日,二十三層,,持分移轉
RPPRMLQJQHGGFHF98DA,1,31.63,本共有部分項目有停車空間、汽車車道、防空避難室兼停車空間等三項。,鋼筋混凝土構造,109年12月2日,二十三層,,持分移轉
RPTPMLOJQHGGFBF38DA,27,26.53,一般廠房附屬停車空間,鋼筋混凝土造,83年5月26日,十層,地下一層,持分移轉
RPTPMLOJQHGGFBF38DA,27,1.68,共有部分,鋼筋混凝土造,83年5月26日,十層,,持分移轉
RPTPMLOJQHGGFBF38DA,27,2.60,共有部分,鋼筋混凝土造,83年5月26日,十層,,持分移轉
RPUOMLNKQHGGFGF98EA,24,31.65,共有部分,鋼筋混凝土造,86年10月1日,十四層,,持分移轉
RPQTMLMKQHGGFBF38DA,34,170.76,住家用,鋼筋混凝土造,76年10月13日,二層,一層 二層 陽台 平台,全筆移轉
RPSQMLTJQHGGFEF56DA,2,98.69,住家用,鋼筋混凝土造,108年3月6日,二十三層,五層 陽台 雨遮,全筆移轉
RPSQMLTJQHGGFEF56DA,2,74.18,本共有部分之項目有管委會使用空間、梯廳、中繼機房、自來水箱、電梯機房、樓梯間、緊急昇降機間、排煙室、消防水箱、特別安全梯、停車空間、安全梯、陽台、緊急昇降機、無障礙兼緊急昇降機、公共台電配電室、台電配電室、安全梯間、電氣機房、機房、垃圾儲藏空間、垃圾車停車位、緊急發電機室、大公共棟緊急發電機室、水箱、管道間、昇降機間、電信機房、消防泵浦室、戶外安全梯、昇降機、無障礙昇降機、無障礙樓梯間、防空避難室兼停車空間、溫泉水箱、汙水機房、昇降機無障礙、防災中心、裝卸車位、水表室、受水池等４１項,鋼筋混凝土造,108年3月6日,二十三層,,持分移轉
