編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLLJKIHGFBF37DA,22,44.21,住家用,鋼筋混凝土造,89年11月8日,七層,六層 陽台,全筆移轉
RPSNMLLJKIHGFBF37DA,22,9.14,共有部分,鋼筋混凝土造,89年11月8日,七層,,持分移轉
RPSNMLLJKIHGFBF37DA,22,7.43,共有部分,鋼筋混凝土造,89年11月8日,七層,,持分移轉
RPWNMLTJJIHGFBF58EA,27,91.02,住家用,鋼筋混凝土造,84年5月8日,七層,七層 陽台 花台,全筆移轉
RPWNMLTJJIHGFBF58EA,27,38.00,共有部份,鋼筋混凝土造,84年5月8日,七層,,持分移轉
RPPNMLTJJIHGFHF48EA,24,3.62,工業用,鋼筋混凝土造,88年2月27日,十八層,地下一層,持分移轉
RPPNMLTJJIHGFHF48EA,24,163.82,工商用,鋼筋混凝土造,88年2月27日,十八層,七層,全筆移轉
RPPNMLTJJIHGFHF48EA,24,24.00,共有部分,鋼筋混凝土造,88年2月27日,十八層,,持分移轉
RPPNMLTJJIHGFHF48EA,24,53.87,共有部分,鋼筋混凝土造,88年2月27日,十八層,,持分移轉
RPPNMLTJJIHGFHF48EA,24,33.07,共有部分,鋼筋混凝土造,88年2月27日,十八層,,持分移轉
RPOVMLTJJIHGFAF48EA,38,115.41,住家用,鋼筋混凝土造,74年1月11日,五層,一層 平台,全筆移轉
RPQNMLTJJIHGFHF58EA,24,5.10,工業用,鋼筋混凝土造,88年2月27日,十八層,地下一層,持分移轉
RPQNMLTJJIHGFHF58EA,24,234.20,工商用,鋼筋混凝土造,88年2月27日,十八層,七層,全筆移轉
RPQNMLTJJIHGFHF58EA,24,33.78,共有部分,鋼筋混凝土造,88年2月27日,十八層,,持分移轉
RPQNMLTJJIHGFHF58EA,24,76.92,共有部分,鋼筋混凝土造,88年2月27日,十八層,,持分移轉
RPQNMLTJJIHGFHF58EA,24,33.07,共有部分,鋼筋混凝土造,88年2月27日,十八層,,持分移轉
