編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLSJLHHGFGF09DA,45,5.71,住家用,加強磚造,65年11月22日,四層,一層,持分移轉
RPQOMLSKKHHGFEF28DA,11,.05,一般零售業,鋼筋混凝土造,100年6月13日,二十九層,一層,持分移轉
RPXNMLSJLHHGFGF09DA,45,6.86,住家用,加強磚造,65年11月22日,四層,三層 陽台,持分移轉
RPQOMLSKKHHGFEF28DA,11,.52,本共有部分之項目樓電梯間、出入口、機坑等３項,鋼筋混凝土造,100年6月13日,二十九層,,持分移轉
RPQOMLSKKHHGFEF28DA,11,24.40,本共有部分之項目汽車坡道、停車空間、防空避難室兼停車空間等３項,鋼筋混凝土造,100年6月13日,二十九層,,持分移轉
RPQNMLSJLHHGFFF28DA,,66.50,商業用,加強磚造,,二層,一層 二層 騎樓,持分移轉
RPXNMLMJLHHGFBF97DA,32,106.09,住家用,鋼筋混凝土造,79年5月25日,五層,一層 平台,全筆移轉
RPWNMLLKKHHGFHF48EA,25,22.51,住家用,鋼筋混凝土造,86年7月17日,六層,三層,全筆移轉
RPXNMLMJLHHGFBF97DA,32,13.29,共有部份,鋼筋混凝土造,79年5月25日,五層,,持分移轉
RPWNMLLKKHHGFHF48EA,25,6.38,共有部份,鋼筋混凝土造,86年7月17日,六層,,持分移轉
RPTOMLPKKHHGFDF18DA,25,30.20,防空避難室兼停車空間、停車空間、屋頂突出物、電樓梯間,鋼筋混凝土造,86年4月29日,十五層,,持分移轉
RPPOMLSKKHHGFDF18EA,46,71.16,住家用,加強磚造,65年6月8日,三層,三層,全筆移轉
RPQRMLPKKHHGFCF18EA,21,4.40,停車空間,鋼骨造,90年1月20日,二十二層,,持分移轉
RPPNMLPKKHHGFHF18EA,24,32.40,共有部份,鋼骨鋼筋混凝土造,86年11月4日,二十七層,,持分移轉
RPQNMLPKKHHGFHF28EA,24,32.40,共有部份,鋼骨鋼筋混凝土造,86年11月4日,二十七層,,持分移轉
RPSPMLOKKHHGFAF77DA,12,40.27,住家用,鋼筋混凝土造,99年3月23日,八層,五層 陽台,全筆移轉
RPSPMLOKKHHGFAF77DA,12,.57,住家用,鋼筋混凝土造,99年3月23日,八層,一層,持分移轉
RPSPMLOKKHHGFAF77DA,12,19.05,本共有部分之項目有：地下二層：汽車停車空間，蓄水池，消防泵浦室，污水機房，樓梯間，汽車升降機，發電機室，電樓梯間等。地下一層：防空避難室兼汽車停車空間，台電配電室，樓梯間，汽車升降機，電信室，電樓梯間等。第一層：陽台，機械室，梯廳，電樓梯間，汽車升降機等。第２～８層各層：梯廳，電樓梯間等。屋頂突出物：水箱，樓梯間等。,鋼筋混凝土造,99年3月23日,八層,,持分移轉
RPSPMLOKKHHGFAF77DA,12,54.43,本共有部分之項目有：地下二層：汽車停車空間，蓄水池，消防泵浦室，污水機房，樓梯間，汽車升降機，發電機室，電樓梯間等。地下一層：防空避難室兼汽車停車空間，台電配電室，樓梯間，汽車升降機，電信室，電樓梯間等。第一層：陽台，機械室，梯廳，電樓梯間，汽車升降機等。第２～８層各層：梯廳，電樓梯間等。屋頂突出物：水箱，樓梯間等。,鋼筋混凝土造,99年3月23日,八層,,持分移轉
RPQQMLQKKHHGFAF97EA,2,25.98,集合住宅,鋼筋混凝土造,109年6月24日,十四層,二層 陽台 雨遮,持分移轉
RPQQMLQKKHHGFAF97EA,2,30.73,共有部分；本共有部分之項目有管委會使用空間一、管委會使用空間二、管委會使用空間三、門廊、戶外安全梯、行動不便者電梯、緊急昇降機、排煙室、梯廳、安全梯Ｅ、戶外安全梯Ｂ、管委會使用空間四、管委會使用空間五、戶外安全梯Ｃ、戶外安全梯Ｄ、無障礙昇降機、無障礙安全梯、戶外安全梯Ａ、樓梯間、水箱、機房、消防水箱、防空避難室兼停車空間、垃圾存放室、垃圾暫停車位、安全梯、台電配電場所、電信室、停車空間、消防幫浦室、發電機室等３１項。,鋼筋混凝土造,109年6月24日,十四層,,持分移轉
RPPPMLRKKHHGFEF18DA,31,20.03,住家用,鋼筋混凝土造,79年8月28日,十四層,四層 陽台,全筆移轉
RPPPMLRKKHHGFEF18DA,31,8.85,共有部份,鋼筋混凝土造,79年8月28日,十四層,,持分移轉
RPVPMLRKKHHGFHF09DA,24,26.83,住家用,鋼骨鋼筋混凝土造,86年11月4日,四十一層,十四層,全筆移轉
