編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLRJOHGGFFF38DA,,106.95,住家用,鋼筋混凝土造,,三層,二層 陽臺,全筆移轉
RPPNMLRJNHGGFFF18DA,40,60.70,住家用,加強磚造,70年6月16日,二層,一層,全筆移轉
RPOOMLNJNHGGFDF57DA,4,21.56,本共有部分之項目計有：汽車通道、防空避難室兼停車空間、停車空間等３項。,鋼筋混凝土構造,106年2月14日,十四層,,持分移轉
RPOOMLNJNHGGFDF57DA,4,21.56,本共有部分之項目計有：汽車通道、防空避難室兼停車空間、停車空間等３項。,鋼筋混凝土構造,106年2月14日,十四層,,持分移轉
RPQUMLKKNHGGFIF78EA,30,46.21,住家用,鋼筋混凝土造,80年9月3日,五層,一層 平台 花台,持分移轉
RPQUMLKKNHGGFIF78EA,30,46.21,住家用,鋼筋混凝土造,80年9月3日,五層,一層 平台 花台,持分移轉
RPQUMLKKNHGGFIF78EA,30,2.24,公共設施﹙蓄水池、樓梯間、水箱﹚,鋼筋混凝土造,80年9月3日,五層,,持分移轉
RPQUMLKKNHGGFIF78EA,30,2.24,公共設施﹙蓄水池、樓梯間、水箱﹚,鋼筋混凝土造,80年9月3日,五層,,持分移轉
RPSPMLKKNHGGFCF77DA,,77.34,集合住宅,鋼筋混凝土構造,110年1月6日,六層,五層 陽臺 雨遮,全筆移轉
RPSPMLKKNHGGFCF77DA,,67.77,本共有部分項目計有：防空避難室、電信室、蓄水池、無障礙昇降機、梯廳、停車空間、樓梯間、機房、水箱等共計９項。,鋼筋混凝土構造,110年1月6日,六層,,持分移轉
RPOQMLLJOHGGFAF37DA,,37.91,集合住宅,鋼筋混凝土造,110年3月25日,十五層,七層 陽臺 雨遮,持分移轉
RPOQMLLJOHGGFAF37DA,,37.91,集合住宅,鋼筋混凝土造,110年3月25日,十五層,七層 陽臺 雨遮,持分移轉
RPOQMLLJOHGGFAF37DA,,33.46,本共有部分項目：汽機車車道、管委會使用空間１、管委會使用空間２、管委會使用空間３、梯廳、排煙室Ａ、緊急昇降機、無障礙昇降機、一般昇降機、Ａ樓梯間、排煙室Ｂ、排煙室、戶外安全梯Ａ１、戶外安全梯Ａ２、戶外安全梯Ｂ１、戶外安全梯Ｂ２、樓梯間、（無障礙）戶外安全梯Ａ２、水箱、電梯機房、戶外安全梯Ｂ２（無障礙）、台電配電場所、排風、進風、風機、垃圾車暫停車位、垃圾儲藏室、防空避難室兼停車空間、電信機房、發電機房、停車空間、消防機房、雨水機房共３３項。,鋼筋混凝土造,110年3月25日,十五層,,持分移轉
RPOQMLLJOHGGFAF37DA,,33.46,本共有部分項目：汽機車車道、管委會使用空間１、管委會使用空間２、管委會使用空間３、梯廳、排煙室Ａ、緊急昇降機、無障礙昇降機、一般昇降機、Ａ樓梯間、排煙室Ｂ、排煙室、戶外安全梯Ａ１、戶外安全梯Ａ２、戶外安全梯Ｂ１、戶外安全梯Ｂ２、樓梯間、（無障礙）戶外安全梯Ａ２、水箱、電梯機房、戶外安全梯Ｂ２（無障礙）、台電配電場所、排風、進風、風機、垃圾車暫停車位、垃圾儲藏室、防空避難室兼停車空間、電信機房、發電機房、停車空間、消防機房、雨水機房共３３項。,鋼筋混凝土造,110年3月25日,十五層,,持分移轉
RPXNMLMKNHGGFAF08DA,27,31.83,住家用,鋼筋混凝土造,83年1月28日,七層,二層,全筆移轉
RPXNMLMKNHGGFAF08DA,27,11.57,共有部份,鋼筋混凝土造,83年1月28日,七層,,持分移轉
RPXNMLMKNHGGFAF08DA,27,5.10,共有部份,鋼筋混凝土造,83年1月28日,七層,,持分移轉
RPURMLKKNHGGFDF28DA,26,33.41,見使用執照,鋼筋混凝土造,84年1月26日,二十五層,地下一層,持分移轉
RPTQMLOKNHGGFAF28EA,,51.59,住家用,加強磚造,,四層,四層 陽臺,持分移轉
