編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQPMLQJNHJGFCF38DA,28,35.29,共有部份,鋼筋混凝土造,85年7月10日,十四層,,持分移轉
RPOOMLNKNHJGFGF38EA,44,94.00,住家用,鋼筋混凝土造,69年1月12日,五層,五層 陽台,全筆移轉
RPPOMLSJNHJGFGF88EA,43,21.00,住家用,鋼筋混凝土造,70年5月7日,四層,三層,全筆移轉
RPXNMLSJNHJGFEF76EA,31,49.75,共有部份,鋼筋混凝土造,82年11月3日,六層,,持分移轉
RPSNMLSJNHJGFEF88EA,27,33.99,住家用,鋼筋混凝土造,86年5月2日,十層,二層 陽台,全筆移轉
RPSNMLSJNHJGFEF88EA,27,12.56,共有部份,鋼筋混凝土造,86年5月2日,十層,,持分移轉
RPSNMLSJNHJGFHF56EA,25,165.98,工商用,鋼筋混凝土造,88年10月8日,十層,七層,全筆移轉
RPSNMLSJNHJGFHF56EA,25,71.75,共有部份,鋼筋混凝土造,88年10月8日,十層,,持分移轉
RPSNMLSJNHJGFHF56EA,25,69.77,共有部份,鋼筋混凝土造,88年10月8日,十層,,持分移轉
RPRNMLSJNHJGFCF58EA,38,20.91,見使用執照,鋼筋混凝土造,75年7月8日,七層,地下一層,持分移轉
RPUNMLTJNHJGFCF98EA,25,40.26,住家用,鋼筋混凝土造,87年11月24日,十層,一層 陽台 雨遮,持分移轉
RPUNMLTJNHJGFCF98EA,25,2.18,共有部分,鋼筋混凝土造,87年11月24日,十層,,持分移轉
RPUNMLTJNHJGFCF98EA,25,10.55,共有部分,鋼筋混凝土造,87年11月24日,十層,,持分移轉
RPVOMLPKNHJGFHF76EA,43,115.40,住家用,鋼筋混凝土造,70年1月12日,十二層,九層 陽台,全筆移轉
RPVOMLPKNHJGFHF76EA,43,13.61,共有部份,鋼筋混凝土造,70年1月12日,十二層,,持分移轉
RPTNMLRJNHJGFDF68DA,29,35.09,見使用執照,鋼筋混凝土造,84年1月26日,二十四層,地下一層,持分移轉
RPRNMLTJNHJGFDF68DA,29,57.76,見使用執照,鋼筋混凝土造,84年1月26日,二十四層,地下一層,持分移轉
RPPNMLPKNHJGFFF48EA,67,55.86,住家用,（木石磚造）磚石造,46年1月1日,一層,一層,全筆移轉
RPQNMLNKNHJGFEF28EA,28,87.84,住家用,鋼筋混凝土造,85年7月8日,十二層,七層 陽台 花台,全筆移轉
RPQNMLNKNHJGFEF28EA,28,32.65,共有部份,鋼筋混凝土造,85年7月8日,十三層,,持分移轉
RPSOMLRJNHJGFGF98DA,33,11.85,共有部份,鋼筋混凝土造,80年1月16日,十二層,,持分移轉
RPSOMLRJNHJGFGF98DA,33,21.51,一般事務所,鋼筋混凝土造,80年1月16日,十二層,三層,全筆移轉
RPSOMLRJNHJGFGF98DA,33,4.16,本共有部分項目有：走道１項。,鋼筋混凝土造,80年1月16日,十二層,,持分移轉
RPWSMLSJNHJGFBF76DA,43,71.62,住家用,鋼筋混凝土造,69年12月24日,五層,四層 陽台,全筆移轉
