地區,鄉鎮市區,土地位置建物門牌,交易標的,交易年月,交易年_西元,交易月,總價_萬,坪數,車位價格_萬,車位面積_坪,不含車位總價_萬,不含車位坪數,不含車位單價_萬坪,建物型態,屋齡,移轉層次,總樓層數,戶型,房數,廳數,衛數,有無管理組織,是否預售屋,備註,編號
台北市,文山區,臺北市文山區福興路４６巷２弄５號,房地(土地+建物),2022-02,2022,2,1000.0,20.75449438712078,0.0,0.0,1000.0,20.75449438712078,48.18233493659816,公寓(5樓含以下無電梯),100,一層，平台,四層,2房1廳1衛,2,1,1,無,False,,RPXNMLLKKHHGFAA37EA
台北市,萬華區,臺北市萬華區漢口街二段５１號九樓之５,房地(土地+建物),2022-02,2022,2,1768.0,25.46743743552978,0.0,0.0,1768.0,25.46743743552978,69.42198265827295,住宅大樓(11層含以上有電梯),10,九層,十五層,2房1廳1衛,2,1,1,有,False,,RPRNMLPKKHHGFBA17DA
台北市,士林區,臺北市士林區延平北路五段５０號九樓,房地(土地+建物),2022-02,2022,2,2400.0,43.39658599003567,0.0,0.0,2400.0,43.39658599003567,55.303889585947296,住宅大樓(11層含以上有電梯),9,九層,十三層,3房2廳2衛,3,2,2,無,False,,RPRNMLMKKHHGFEA17DA
台北市,中山區,臺北市中山區四平街１０７號六樓之１,房地(土地+建物),2022-02,2022,2,970.0,11.76723264333185,0.0,0.0,970.0,11.76723264333185,82.43229562982006,華廈(10層含以下有電梯),0,六層,十層,0房0廳0衛,0,0,0,有,False,,RPRPMLQKKHHGFCA67EA
台北市,松山區,臺北市松山區復興北路１號八樓之３,房地(土地+建物),2022-02,2022,2,2000.0,55.19104359321069,0.0,0.0,2000.0,55.19104359321069,36.23776377089614,住宅大樓(11層含以上有電梯),0,八層,十六層,0房0廳0衛,0,0,0,有,False,宗教用,RPPPMLRKKHHGFDA57DA
台北市,文山區,臺北市文山區辛亥路六段３７號三樓之２,房地(土地+建物)+車位,2022-02,2022,2,1980.0,39.96321605425632,0.0,13.128480635491062,1980.0,26.83473541876526,73.78496449103821,住宅大樓(11層含以上有電梯),0,三層,十四層,2房1廳1衛,2,1,1,有,False,本件買賣含二棟建物中1686建號係是社區公設及設備並為全部住戶共有使用,RPVNMLKKKHHGFAA96DA
台北市,中山區,臺北市中山區民權東路二段２６號十一樓,房地(土地+建物),2022-02,2022,2,2625.0,39.97531603640885,0.0,0.0,2625.0,39.97531603640885,65.66552213393871,住宅大樓(11層含以上有電梯),0,十一層,十二層,2房2廳1衛,2,2,1,有,False,,RPXNMLLLKHHGFCA67EA
台北市,北投區,臺北市北投區明德路３３３巷２２號,房地(土地+建物),2022-02,2022,2,2330.0,28.52570792458081,0.0,0.0,2330.0,28.52570792458081,81.68070731707317,公寓(5樓含以下無電梯),0,一層,四層,3房2廳1衛,3,2,1,無,False,,RPTRMLLLKHHGFEA87EA
台北市,大同區,臺北市大同區重慶北路二段１００之１號,房地(土地+建物),2022-02,2022,2,2904.0,16.66167542402875,0.0,0.0,2904.0,16.66167542402875,174.29219607843137,透天厝,100,全,三層,0房0廳0衛,0,0,0,無,False,,RPTNMLLLKHHGFBA07DA
台北市,大同區,臺北市大同區重慶北路二段１００之１號,房地(土地+建物),2022-02,2022,2,2904.0,16.66167542402875,0.0,0.0,2904.0,16.66167542402875,174.29219607843137,透天厝,100,全,三層,0房0廳0衛,0,0,0,無,False,,RPUNMLLLKHHGFBA17DA
台北市,大同區,臺北市大同區重慶北路二段１００之１號,房地(土地+建物),2022-02,2022,2,2904.0,16.66167542402875,0.0,0.0,2904.0,16.66167542402875,174.29219607843137,透天厝,100,全,三層,0房0廳0衛,0,0,0,無,False,,RPVNMLLLKHHGFBA27DA
台北市,內湖區,臺北市內湖區文湖街２１巷１１８弄１２號五樓之１,房地(土地+建物)+車位,2022-02,2022,2,2366.0,40.31411553667959,170.0,7.532238889947637,2196.0,32.78187664673195,66.98823327489157,華廈(10層含以下有電梯),4,五層,七層,2房2廳1衛,2,2,1,有,False,,RPTPMLMLKHHGFCA57EA
台北市,北投區,臺北市北投區中央北路四段５１５巷５６號九樓,房地(土地+建物)+車位,2022-02,2022,2,1155.0,27.33990967363323,0.0,8.32176272539998,1155.0,19.01814694823325,60.7314689040878,住宅大樓(11層含以上有電梯),9,九層,十四層,1房1廳1衛,1,1,1,有,False,夾層；其他增建；,RPUNMLOKKHHGFEA67DA
台北市,信義區,臺北市信義區光復南路５０５號六樓之３,房地(土地+建物),2022-02,2022,2,1150.0,11.367933232298482,0.0,0.0,1150.0,11.367933232298482,101.16174827035658,住宅大樓(11層含以上有電梯),0,六層,十二層,1房0廳1衛,1,0,1,有,False,,RPXNMLLKKHHGFDA57DA
台北市,中山區,臺北市中山區基湖路１３９號七樓,房地(土地+建物)+車位,2022-02,2022,2,5200.0,59.98263652561112,0.0,11.8579825094758,5200.0,48.12465401613533,108.05272487271355,住宅大樓(11層含以上有電梯),0,七層,十二層,3房2廳2衛,3,2,2,有,False,陽台外推；,RPQNMLTKKHHGFCA57DA
台北市,信義區,臺北市信義區松信路５０巷５號五樓,房地(土地+建物)+車位,2022-02,2022,2,9068.0,140.6713675097329,0.0,55.68411786592616,9068.0,84.98724964380675,106.69835814201818,住宅大樓(11層含以上有電梯),9,五層,十四層,0房0廳0衛,0,0,0,有,False,含裝潢費5000000元；,RPWOMLMLKHHGFDA87EA
台北市,信義區,臺北市信義區信義路四段４１３號八樓之２,房地(土地+建物),2022-02,2022,2,2905.0,36.85049564551892,0.0,0.0,2905.0,36.85049564551892,78.83204687243474,住宅大樓(11層含以上有電梯),0,八層,十二層,3房2廳2衛,3,2,2,有,False,,RPRRMLLLJHHGFDA47EA
台北市,內湖區,臺北市內湖區文德路２１０巷３０弄１００號八樓之１,房地(土地+建物)+車位,2022-02,2022,2,2350.0,38.59591807102085,0.0,8.769462065043454,2350.0,29.82645600597739,78.78911257606491,住宅大樓(11層含以上有電梯),0,八層,十四層,2房1廳1衛,2,1,1,有,False,,RPOPMLMLKHHGFCA07EA
台北市,北投區,臺北市北投區大度路三段２７０巷６９號四樓之７,房地(土地+建物),2022-02,2022,2,1085.0,18.924372086551173,0.0,0.0,1085.0,18.924372086551173,57.33347426470588,住宅大樓(11層含以上有電梯),10,四層,十九層,1房1廳1衛,1,1,1,有,False,,RPUNMLNLKHHGFEA67DA
台北市,中正區,臺北市中正區南昌路一段１２１號,房地(土地+建物),2022-02,2022,2,9050.0,56.80639121057296,0.0,0.0,9050.0,56.80639121057296,159.3130598008414,住宅大樓(11層含以上有電梯),0,一層，騎樓,十八層,0房0廳0衛,0,0,0,有,False,,RPROMLNLKHHGFAA17EA
