地區,鄉鎮市區,土地位置建物門牌,交易標的,交易年月,交易年_西元,交易月,總價_萬,坪數,車位價格_萬,車位面積_坪,不含車位總價_萬,不含車位坪數,不含車位單價_萬坪,建物型態,屋齡,移轉層次,總樓層數,戶型,房數,廳數,衛數,有無管理組織,是否預售屋,備註,編號
台北市,中山區,臺北市中山區長春路８８號三樓之１２,房地(土地+建物),2023-03,2023,3,650.0,10.856708986354246,0.0,0.0,650.0,10.856708986354246,59.870813597102256,住宅大樓(11層含以上有電梯),0,三層,十二層,1房1廳1衛,1,1,1,有,False,,RPOQMLRJLHIGFCA57DA
台北市,中山區,臺北市中山區市民大道三段１６９號十三樓之３,房地(土地+建物),2023-02,2023,2,1320.0,20.814994297883413,0.0,0.0,1320.0,20.814994297883413,63.415823281499776,住宅大樓(11層含以上有電梯),0,十三層,十三層,2房1廳1衛,2,1,1,有,False,,RPOOMLSJKHIGFCA47EA
台北市,信義區,臺北市信義區吳興街２８４巷２０號四樓,房地(土地+建物),2023-02,2023,2,1750.0,28.625532777339156,0.0,0.0,1750.0,28.625532777339156,61.13423332981084,公寓(5樓含以下無電梯),0,四層，陽臺,四層,3房2廳2衛,3,2,2,無,False,,RPPNMLKKKHIGFDA76DA
台北市,大安區,臺北市大安區和平東路三段３４６巷２１號三樓,房地(土地+建物),2023-02,2023,2,650.0,13.815154622646933,0.0,0.0,650.0,13.815154622646933,47.04978103788044,公寓(5樓含以下無電梯),100,三層，陽臺,四層,2房1廳1衛,2,1,1,無,False,,RPPNMLOKKHIGFFA47EA
台北市,士林區,臺北市士林區延平北路八段２巷５５弄２０號二樓,房地(土地+建物),2023-02,2023,2,780.0,21.16891877584481,0.0,0.0,780.0,21.16891877584481,36.84647327807944,公寓(5樓含以下無電梯),0,二層,三層,2房1廳1衛,2,1,1,無,False,,RPPNMLPKKHIGFEA47EA
台北市,士林區,臺北市士林區中山北路七段９號,房地(土地+建物),2023-02,2023,2,4400.0,31.62027836008942,0.0,0.0,4400.0,31.62027836008942,139.151210178896,華廈(10層含以下有電梯),0,一層,七層,1房1廳1衛,1,1,1,有,False,壹樓空地。,RPUPMLKKKHIGFEA57DA
台北市,士林區,臺北市士林區中山北路七段９號二樓,房地(土地+建物),2023-02,2023,2,3100.0,49.13500252587128,0.0,0.0,3100.0,49.13500252587128,63.09147940651357,華廈(10層含以下有電梯),0,二層,七層,2房1廳2衛,2,1,2,有,False,陽台外推；,RPVPMLKKKHIGFEA67DA
台北市,萬華區,臺北市萬華區東園街２８巷５０號二樓之２４,房地(土地+建物),2023-02,2023,2,445.0,11.63413283965406,0.0,0.0,445.0,11.63413283965406,38.24952028081123,華廈(10層含以下有電梯),0,二層,六層,0房1廳1衛,0,1,1,無,False,陽台外推；其他增建；,RPSOMLOKKHIGFBA37DA
台北市,松山區,臺北市松山區南京東路五段２３９號五樓之１３,房地(土地+建物),2023-02,2023,2,1410.0,15.624101954449618,0.0,0.0,1410.0,15.624101954449618,90.24518683446271,住宅大樓(11層含以上有電梯),0,五層,十八層,1房1廳1衛,1,1,1,有,False,,RPSOMLOKKHIGFDA57DA
台北市,北投區,臺北市北投區磺港路８號九樓,房地(土地+建物),2023-02,2023,2,1825.0,35.667722390109475,0.0,0.0,1825.0,35.667722390109475,51.16670977864473,華廈(10層含以下有電梯),0,九層,九層,3房1廳2衛,3,1,2,無,False,,RPSNMLPKKHIGFEA77EA
台北市,信義區,臺北市信義區信義路五段８巷１３號八樓,房地(土地+建物),2023-02,2023,2,1850.0,16.035501347635513,0.0,0.0,1850.0,16.035501347635513,115.3690152801358,住宅大樓(11層含以上有電梯),0,八層,十四層,1房1廳1衛,1,1,1,有,False,陽台外推；夾層；,RPQQMLKKKHIGFDA17DA
台北市,北投區,臺北市北投區文化三路７１號五樓,房地(土地+建物),2023-02,2023,2,1600.0,35.48622265782158,0.0,0.0,1600.0,35.48622265782158,45.087920893359474,華廈(10層含以下有電梯),0,五層,七層,3房2廳2衛,3,2,2,有,False,其他增建；,RPSNMLSJKHIGFEA87DA
台北市,松山區,臺北市松山區民生東路五段１７０號七樓之２,房地(土地+建物),2023-02,2023,2,2850.0,36.37254635049413,0.0,0.0,2850.0,36.37254635049413,78.3558008982036,住宅大樓(11層含以上有電梯),0,七層,十五層,3房2廳2衛,3,2,2,有,False,,RPOUMLOJJHIGFDA67EA
台北市,中山區,臺北市中山區建國北路三段８０巷１號八樓,房地(土地+建物),2023-02,2023,2,2580.0,41.11876434982258,0.0,0.0,2580.0,41.11876434982258,62.74507614213198,住宅大樓(11層含以上有電梯),0,八層,十一層,3房2廳2衛,3,2,2,有,False,,RPRNMLRKKHIGFCA67EA
台北市,內湖區,臺北市內湖區星雲街１６８巷４３號七樓之２,房地(土地+建物),2023-02,2023,2,1400.0,18.207448144013988,0.0,0.0,1400.0,18.207448144013988,76.89160990197708,住宅大樓(11層含以上有電梯),0,七層,二十一層,2房1廳1衛,2,1,1,有,False,陽台外推；夾層；其他增建；,RPSNMLPKKHIGFCA47DA
台北市,大同區,臺北市大同區歸綏街１６０巷１號十一樓之１,房地(土地+建物)+車位,2023-02,2023,2,2188.0,35.089948242326344,120.0,3.790319409278871,2068.0,31.29962883304747,66.07107103508264,住宅大樓(11層含以上有電梯),0,十一層,十三層,2房2廳2衛,2,2,2,有,False,陽台外推；其他增建；,RPVNMLRJKHIGFBA77DA
台北市,萬華區,臺北市萬華區雙園街６７巷３弄１號四樓,房地(土地+建物),2023-02,2023,2,440.0,12.148382081136427,0.0,0.0,440.0,12.148382081136427,36.21881474103586,公寓(5樓含以下無電梯),0,四層，陽臺,四層,3房1廳1衛,3,1,1,無,False,,RPVNMLSKKHIGFBA97DA
台北市,大安區,臺北市大安區仁愛路四段２６６巷１５弄２０號六樓,房地(土地+建物),2023-02,2023,2,3700.0,39.234192129566615,0.0,0.0,3700.0,39.234192129566615,94.3054973014649,華廈(10層含以下有電梯),0,六層,七層,3房2廳2衛,3,2,2,有,False,陽台外推；其他增建；,RPRNMLTJKHIGFFA97DA
台北市,內湖區,臺北市內湖區新明路３１２巷２之６號,房地(土地+建物)+車位,2023-02,2023,2,3198.0,87.7762955299641,0.0,40.75576488524679,3198.0,47.02053064471731,68.0128436695831,華廈(10層含以下有電梯),9,一層，地下一層,六層,3房2廳2衛,3,2,2,無,False,,RPROMLRKKHIGFCA67DA
台北市,大安區,臺北市大安區和平東路三段４１６巷５號七樓,房地(土地+建物),2023-02,2023,2,2650.0,42.12306286848227,0.0,0.0,2650.0,42.12306286848227,62.910904847396765,華廈(10層含以下有電梯),0,七層,七層,3房2廳2衛,3,2,2,有,False,,RPWNMLSKKHIGFFA48DA
台北市,中正區,臺北市中正區中華路一段７號四樓之７,房地(土地+建物)+車位,2023-02,2023,2,1815.0,21.014644003400093,0.0,3.554369757304608,1815.0,17.460274246095487,103.95025727650729,住宅大樓(11層含以上有電梯),8,四層,十五層,1房1廳1衛,1,1,1,有,False,,RPRNMLRKKHIGFBA47DA
台北市,萬華區,臺北市萬華區雙園街６７巷３弄１號三樓,房地(土地+建物),2023-02,2023,2,440.0,12.148382081136427,0.0,0.0,440.0,12.148382081136427,36.21881474103586,公寓(5樓含以下無電梯),0,三層，露台,四層,3房1廳1衛,3,1,1,無,False,,RPOOMLSKKHIGFBA37DA
台北市,中正區,臺北市中正區濟南路二段１５號五樓之５,房地(土地+建物)+車位,2023-02,2023,2,1550.0,19.955895565054043,200.0,5.553891808009583,1350.0,14.40200375704446,93.73695652173912,住宅大樓(11層含以上有電梯),0,五層,十一層,2房1廳1衛,2,1,1,有,False,陽台外推；,RPRPMLOKKHIGFBA37DA
台北市,萬華區,臺北市萬華區峨眉街１００號二樓之１０,房地(土地+建物),2023-02,2023,2,1200.0,12.441806648335197,0.0,0.0,1200.0,12.441806648335197,96.44901531728664,住宅大樓(11層含以上有電梯),0,二層,十一層,1房1廳1衛,1,1,1,有,False,夾層；,RPWNMLKLKHIGFBA37DA
台北市,文山區,臺北市文山區木柵路二段１１５號,房地(土地+建物),2023-02,2023,2,2660.0,23.231965732850544,0.0,0.0,2660.0,23.231965732850544,114.4974140625,公寓(5樓含以下無電梯),100,一層，騎樓,三層,0房1廳1衛,0,1,1,無,False,,RPPNMLLLKHIGFAA76EA
台北市,大安區,臺北市大安區忠孝東路四段１５號七樓之１０,房地(土地+建物),2023-02,2023,2,1400.0,12.369206755420036,0.0,0.0,1400.0,12.369206755420036,113.18429933969183,住宅大樓(11層含以上有電梯),0,七層,十二層,1房1廳1衛,1,1,1,有,False,,RPWOMLRJKHIGFFA38DA
台北市,松山區,臺北市松山區南京東路四段１３３巷８弄７號,房地(土地+建物),2023-02,2023,2,3150.0,32.246452436482656,0.0,0.0,3150.0,32.246452436482656,97.6851641651032,公寓(5樓含以下無電梯),100,一層,四層,2房2廳2衛,2,2,2,無,False,其他增建；,RPPNMLTKKHIGFDA67DA
台北市,北投區,臺北市北投區光明路２４２號四樓之７,房地(土地+建物),2023-02,2023,2,900.0,16.05062632532617,0.0,0.0,900.0,16.05062632532617,56.07257821334338,住宅大樓(11層含以上有電梯),0,四層,十九層,1房1廳1衛,1,1,1,有,False,,RPVNMLOKKHIGFEA87DA
台北市,文山區,臺北市文山區興隆路四段２之５號十三樓,房地(土地+建物)+車位,2023-02,2023,2,4518.0,87.30137123047744,0.0,8.436712555848981,4518.0,78.86465867462846,57.28801818112078,住宅大樓(11層含以上有電梯),6,十三層,十五層,3房2廳3衛,3,2,3,有,False,,RPQNMLQJKHIGFAA07DA
台北市,內湖區,臺北市內湖區民權東路六段４２５號十樓,房地(土地+建物)+車位,2023-02,2023,2,8300.0,102.31139909068636,550.0,13.65785485466409,7750.0,88.65354423602226,87.41895280990889,住宅大樓(11層含以上有電梯),0,十層,十四層,5房2廳2衛,5,2,2,有,False,,RPQNMLLLKHIGFCA96DA
台北市,松山區,臺北市松山區南京東路五段２３９號七樓之２１,房地(土地+建物),2023-02,2023,2,1500.0,17.31204946472704,0.0,0.0,1500.0,17.31204946472704,86.64485409750131,住宅大樓(11層含以上有電梯),0,七層,十八層,1房1廳1衛,1,1,1,有,False,其他增建；,RPRNMLOKKHIGFDA37DA
台北市,內湖區,臺北市內湖區民權東路六段１２３巷２７號二樓,房地(土地+建物)+車位,2023-02,2023,2,2150.0,29.387831652948314,150.0,4.113993931858951,2000.0,25.273837721089365,79.13321364452423,華廈(10層含以下有電梯),0,二層,五層,2房2廳1衛,2,2,1,有,False,,RPWOMLLLKHIGFCA67DA
台北市,內湖區,臺北市內湖區安泰街１２９巷５號三樓,房地(土地+建物),2023-02,2023,2,1200.0,30.292305318849653,0.0,0.0,1200.0,30.292305318849653,39.61402037147993,公寓(5樓含以下無電梯),0,三層,五層,3房2廳1衛,3,2,1,無,False,,RPPPMLLJJIHGFCA86EA
