編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLRJLHIGFIF48DA,25,37.54,住家用,鋼筋混凝土造,87年6月23日,十二層,十層 陽台,全筆移轉
RPPNMLRJLHIGFIF48DA,25,8.83,共有部分,鋼筋混凝土造,87年6月23日,十二層,,持分移轉
RPPNMLPJLHIGFDF77DA,28,33.84,見使用執照,鋼筋混凝土造,84年1月26日,二十四層,地下二層,持分移轉
RPPOMLRJLHIGFEF18DA,25,45.92,共有部份,鋼筋混凝土造,87年3月4日,十二層,,持分移轉
RPUNMLSJLHIGFDF68EA,24,68.80,住家用,鋼筋混凝土造,88年2月3日,三十二層,十九層 陽台,全筆移轉
RPUNMLSJLHIGFDF68EA,24,1.60,共有部份,鋼筋混凝土造,88年2月3日,三十三層,,持分移轉
RPUNMLSJLHIGFDF68EA,24,2.13,共有部份,鋼筋混凝土造,88年2月3日,三十三層,,持分移轉
RPUNMLSJLHIGFDF68EA,24,18.19,共有部份,鋼筋混凝土造,88年2月3日,三十二層,,持分移轉
RPUNMLSJLHIGFDF68EA,24,21.35,停車空間兼防空避難室,鋼筋混凝土造,88年2月3日,三十三層,,持分移轉
RPVOMLRJKHIGFAF38EA,43,90.35,住家用,鋼筋混凝土造,69年2月14日,五層,二層 陽台,全筆移轉
RPUNMLLJKHIGFFF97DA,24,7.42,商業用,鋼筋混凝土造,88年7月9日,七層,一層 騎樓,持分移轉
RPUNMLLJKHIGFFF97DA,24,1.19,共有部分,鋼筋混凝土造,88年7月9日,七層,,持分移轉
RPRNMLRJLHIGFEF28DA,30,7.32,共有部份,鋼筋混凝土造,82年8月11日,十二層,,持分移轉
RPWNNLMJKHIGFDF18DA,39,24.75,見使用執照,鋼筋混凝土造,72年8月10日,000,地下一層,持分移轉
RPUNMLLJKHIGFFF97DA,24,3.15,共有部分,鋼筋混凝土造,88年7月9日,七層,,持分移轉
RPRNMLRJLHIGFEF28DA,30,122.58,居家護理機構（非收住式機構僅供外展性居家護理服務）、自用儲藏室,鋼筋混凝土造,82年8月11日,十二層,一層 平台,全筆移轉
RPPNMLSJKHIGFDF08EA,28,33.84,見使用執照,鋼筋混凝土造,84年1月26日,二十四層,地下二層,持分移轉
RPSPMLNJKHIGFHF38DA,24,.23,住家用,鋼筋混凝土造,88年1月19日,十一層,七層,持分移轉
RPSPMLNJKHIGFHF38DA,24,.03,共有部份,鋼筋混凝土造,88年1月19日,十一層,,持分移轉
RPSPMLNJKHIGFHF38DA,24,.05,共有部份,鋼筋混凝土造,88年1月19日,十一層,,持分移轉
RPSPMLNJKHIGFHF38DA,24,24.75,共有部份,鋼筋混凝土造,88年1月19日,十一層,,持分移轉
RPQPMLSJKHIGFAF97DA,,64.90,住家用,加強磚造,,四層,四層,全筆移轉
RPVOMLTJKHIGFBF58DA,36,49.09,住家用,鋼筋混凝土造,75年11月14日,五層,三層 陽台,持分移轉
RPXPMLSJKHIGFHF76DA,44,85.88,住家用,鋼筋混凝土造,67年9月4日,五層,四層 陽台,全筆移轉
RPUPMLOJKHIGFCF18DA,15,.02,共有部分,鋼筋混凝土造,97年3月19日,八層,,持分移轉
RPUPMLOJKHIGFCF18DA,15,33.97,停車空間,鋼筋混凝土造,97年3月19日,八層,地下一層,持分移轉
RPUWMLRJKHIGFDF66DA,25,85.79,住家用,鋼筋混凝土造,87年7月13日,十二層,八層 陽台 花台,全筆移轉
RPUWMLRJKHIGFDF66DA,25,4.43,共有部份,鋼筋混凝土造,87年7月13日,十二層,,持分移轉
RPUWMLRJKHIGFDF66DA,25,10.32,共有部份,鋼筋混凝土造,87年7月13日,十二層,,持分移轉
RPUWMLRJKHIGFDF66DA,25,6.10,共有部份,鋼筋混凝土造,87年7月13日,十二層,,持分移轉
RPSPMLKKKHIGFEF87DA,43,102.90,住家用,鋼筋混凝土造,68年8月7日,四層,四層 陽台,全筆移轉
RPPQMLKKKHIGFHF97DA,47,17.70,住家用,加強磚造,64年12月3日,四層,一層,持分移轉
RPOOMLQKKHIGFGF28EA,28,32.64,共有部份,鋼筋混凝土造,83年11月25日,十三層,,持分移轉
RPPOMLOKKHIGFDF87EA,24,44.69,住家用,鋼筋混凝土造,88年3月1日,八層,四層 陽台,全筆移轉
RPPOMLOKKHIGFDF87EA,24,9.70,共有部份,鋼筋混凝土造,88年3月1日,八層,,持分移轉
RPPOMLOKKHIGFDF87EA,24,8.70,共有部份,鋼筋混凝土造,88年3月1日,八層,,持分移轉
RPWQMLKKKHIGFAF08EA,,80.33,商業用,鋼筋混凝土造,,五層,一層 平台,全筆移轉
RPVRMLTJKHIGFAF78DA,,35.12,住家用,鋼筋混凝土造,,三層,一層,持分移轉
RPRNMLPKKHIGFIF58EA,28,23.81,共有部分,鋼筋混凝土造,84年4月17日,六層,,持分移轉
RPTOMLMJLHIGFBF87EA,29,82.65,住家用,鋼筋混凝土造,82年8月11日,十六層,十一層 陽台 花台,全筆移轉
RPTOMLMJLHIGFBF87EA,29,55.45,共有部份,鋼筋混凝土造,82年8月11日,十六層,,持分移轉
RPPNMLOKKHIGFDF67DA,14,.05,商業用,鋼筋混凝土造,98年5月20日,十八層,一層 陽台,持分移轉
RPPNMLOKKHIGFDF67DA,14,29.90,共有部份,鋼筋混凝土造,98年5月20日,十八層,,持分移轉
RPRNMLOKKHIGFAF67EA,34,101.20,住工用,鋼筋混凝土造,77年12月31日,五層,一層 平台,全筆移轉
RPTQMLOJKHIGFCF18DA,20,32.52,停車空間,鋼骨混凝土、鋼筋混凝土,91年9月5日,二十四層,地下一層 地下二層,持分移轉
RPTQMLOJKHIGFCF18DA,20,.03,共有部分,鋼骨混凝土、鋼筋混凝土,91年9月5日,二十四層,,持分移轉
RPTQMLOJKHIGFCF18DA,20,.54,防空避難室兼停車空間,鋼骨混凝土、鋼筋混凝土,91年9月5日,二十四層,,持分移轉
RPRNMLPKKHIGFDF08EA,28,68.92,住家用,鋼筋混凝土造,83年10月26日,十四層,十四層 陽台 花台,全筆移轉
RPRNMLPKKHIGFDF08EA,28,12.54,共有部份,鋼筋混凝土造,83年10月26日,十四層,,持分移轉
RPRNMLPKKHIGFDF08EA,28,28.88,共有部份,鋼筋混凝土造,83年10月26日,十四層,,持分移轉
RPQOMLOKKHIGFHF38EA,45,19.16,住家用,鋼筋混凝土造,67年2月2日,四層,二層,持分移轉
RPPNMLOJKHIGFEF67DA,14,34.83,共有部份,鋼筋混凝土造,97年12月23日,二十四層,,持分移轉
RPPNMLPKKHIGFGF18EA,22,13.31,共有部份,鋼筋混凝土造,89年11月17日,十四層,,持分移轉
RPQNMLPKKHIGFBF77EA,27,59.93,停車空間,鋼筋混凝土造,84年8月5日,十三層,地下二層,持分移轉
RPWNMLPKKHIGFEF68EA,24,122.44,廠房,鋼筋混凝土造,88年1月11日,二十三層,八層 陽台 露台 花台,全筆移轉
RPWNMLPKKHIGFEF68EA,24,9.79,共有部份,鋼筋混凝土造,88年1月11日,二十三層,,持分移轉
RPWNMLPKKHIGFEF68EA,24,37.39,共有部份,鋼筋混凝土造,88年1月11日,二十三層,,持分移轉
RPROMLRJKHIGFEF28DA,39,.39,店鋪,鋼筋混凝土造,72年11月29日,十二層,平台 地下一層,持分移轉
RPROMLRJKHIGFEF28DA,39,.00,共有部份,鋼筋混凝土造,72年11月29日,十二層,,持分移轉
RPSNMLPKKHIGFEF18DA,27,76.67,住家用,鋼筋混凝土造,85年5月4日,五層,三層 陽台,全筆移轉
RPROMLRJKHIGFEF28DA,39,.00,共有部份,鋼筋混凝土造,72年11月29日,十二層,,持分移轉
RPSNMLPKKHIGFEF18DA,27,2.33,共有部份,鋼筋混凝土造,85年5月4日,五層,,持分移轉
RPROMLRJKHIGFEF28DA,39,39.66,住家用,鋼筋混凝土造,72年11月29日,十二層,九層 陽台,全筆移轉
RPSNMLPKKHIGFEF18DA,27,9.47,共有部份,鋼筋混凝土造,85年5月4日,五層,,持分移轉
RPROMLRJKHIGFEF28DA,39,1.41,共有部份,鋼筋混凝土造,72年11月29日,十二層,,持分移轉
RPSNMLOKKHIGFEF18EA,28,3.61,共有部份,鋼筋混凝土造,84年1月14日,十九層,,持分移轉
RPPOMLSJKHIGFHF58EA,51,78.11,集合住宅,鋼筋混凝土造,60年9月3日,四層,一層 平台,全筆移轉
RPRNMLOKKHIGFDF87DA,27,4.80,配電室、停車空間、停車空間兼防空避難室、開放空間、門廳、電樓梯間、中繼水箱、消防水池、水錶室、屋頂突出物,鋼骨鋼筋混凝土造,85年7月10日,二十四層,,持分移轉
RPRNMLOKKHIGFDF87DA,27,24.83,住家用,鋼骨鋼筋混凝土造,85年7月10日,二十四層,十層 陽台,全筆移轉
RPWNMLPKKHIGFCF48EA,37,41.67,住家用,鋼筋混凝土造,74年8月20日,五層,二層 陽台,持分移轉
RPQNMLPKKHIGFHF38EA,22,163.73,廠房、辦公室,鋼筋混凝土造,90年2月27日,十八層,四層,全筆移轉
RPQNMLPKKHIGFHF38EA,22,11.60,共有部分,鋼筋混凝土造,90年2月27日,十八層,,持分移轉
RPQNMLPKKHIGFHF38EA,22,25.25,共有部分,鋼筋混凝土造,90年2月27日,十八層,,持分移轉
RPQNMLPKKHIGFHF38EA,22,48.25,共有部分,鋼筋混凝土造,90年2月27日,十八層,,持分移轉
RPQNMLQKKHIGFFF28EA,27,24.12,住家用,鋼筋混凝土造,85年1月23日,七層,五層 陽台,持分移轉
RPQNMLQKKHIGFFF28EA,27,23.41,住家用,鋼筋混凝土造,85年1月23日,六層,一層 平台,持分移轉
RPQNMLQKKHIGFFF28EA,27,3.66,共有部份,鋼筋混凝土造,85年1月23日,七層,,持分移轉
RPQNMLQKKHIGFFF28EA,27,3.66,共有部份,鋼筋混凝土造,85年1月23日,七層,,持分移轉
RPUNMLPKKHIGFIF78DA,24,80.39,住家用,鋼筋混凝土造,88年7月3日,八層,八層 陽台,全筆移轉
RPUNMLPKKHIGFIF78DA,24,10.66,共有部份,鋼筋混凝土造,88年7月3日,八層,,持分移轉
RPUNMLPKKHIGFIF78DA,24,12.61,共有部份,鋼筋混凝土造,88年7月3日,八層,,持分移轉
RPOOMLPKKHIGFCF77EA,,82.55,集合住宅,鋼筋混凝土構造,111年10月18日,十五層,八層 陽台,全筆移轉
RPOOMLPKKHIGFCF77EA,,70.44,本共有部分項目計有：戶外安全梯、無障礙樓梯、排煙室、梯廳、走廊、管委會空間、排煙室兼梯廳、車道頂蓋、梯間、水錶區、消防水箱、電梯機房、屋頂水箱、水箱、安全梯、泳池機房、垃圾儲存空間、電錶區、地下室排風機房、洗車區、防空避難室兼停車空間、台電配電場所、電信室、電錶、汽車坡道、機車坡道、進風管道、機房、停車空間、發電機房、消防泵浦室等３１項。,鋼筋混凝土構造,111年10月18日,十五層,,持分移轉
RPTNMLSJKHIGFDF38DA,28,35.37,見使用執照,鋼筋混凝土造,84年1月26日,二十五層,地下一層,持分移轉
RPUNMLKLKHIGFAF67EA,45,73.15,住家用,鋼筋混凝土造,67年6月23日,四層,一層 平台 騎樓,全筆移轉
RPXNMLPKKHIGFGF98EA,15,.15,商業用,鋼筋混凝土造,96年11月2日,十二層,一層,持分移轉
RPXNMLPKKHIGFGF98EA,15,24.85,共有部份,鋼筋混凝土造,96年11月2日,十三層,,持分移轉
RPPOMLQKKHIGFEF18EA,14,.20,一般事務所,鋼筋混凝土造,97年12月25日,一層,一層,持分移轉
RPPOMLQKKHIGFEF18EA,14,29.43,共有部分,鋼筋混凝土造,97年12月25日,四層,,持分移轉
RPROMLQKKHIGFHF68EA,30,13.90,防空避難室、停車場。,鋼筋混凝土造,81年10月15日,六層,防空避難室,持分移轉
RPQPMLPKKHIGFEF28EA,10,56.26,住家用,鋼筋混凝土造,101年11月19日,二十六層,九層 陽台,全筆移轉
RPQPMLPKKHIGFEF28EA,10,6.67,本共有部分之項目有：門廳、門廊、警衛室、櫃檯、會議室、盥洗室、休憩區、芳療室、陽台、資源回收室、垃圾車停放處、進風機房、進風管道、防災中心、台電管道間、管道、電信引進管、一般安全梯、發電機室、台電配電室（１）（２）、受電箱、排風機房、空調機房、機房、機電維修通路、蓄水池、消防幫浦室、污水機房、游泳池機房、電信機房等３０項,鋼筋混凝土造,101年11月19日,二十六層,,持分移轉
RPQPMLPKKHIGFEF28EA,10,11.51,本共有部分之項目有：行動不便者電梯、客貨兩用電梯（緊急用昇降機）、梯廳（排煙室）、特別安全梯Ａ、特別安全梯Ｂ、台電管道間、陽台、雨遮、機房、中繼水箱、消防水箱、蓄水池、電梯機械室、電梯昇降道、台電配電場所、受電箱、梯廳等１７項,鋼筋混凝土造,101年11月19日,二十六層,,持分移轉
RPQPMLPKKHIGFEF28EA,10,6.86,本共有部分之項目有：走廊等１項,鋼筋混凝土造,101年11月19日,二十六層,,持分移轉
RPQPMLPKKHIGFEF28EA,10,5.11,本共有部分之項目有：機車停車空間等１項,鋼筋混凝土造,101年11月19日,二十六層,,持分移轉
RPQPMLPKKHIGFEF28EA,10,32.22,本共有部分之項目有：停車空間等１項,鋼筋混凝土造,101年11月19日,二十六層,,持分移轉
RPRPOLQJKHIGFAF08DA,24,25.65,住家用,鋼筋混凝土造,88年7月20日,十二層,八層 陽台,全筆移轉
RPRPOLQJKHIGFAF08DA,24,2.49,防空避難室兼停車空間、門廳、社區辦公室、陽台,鋼筋混凝土造,88年7月20日,十二層,,持分移轉
RPRPOLQJKHIGFAF08DA,24,6.58,電樓梯間、樓梯間門廳、機房、水箱、瞭望台,鋼筋混凝土造,88年7月20日,十二層,,持分移轉
RPTNMLQKKHIGFAF97DA,28,91.91,住家用,鋼筋混凝土造,84年7月27日,十四層,三層 陽台,全筆移轉
RPTNMLQKKHIGFAF97DA,28,.92,共有部分,鋼筋混凝土造,84年7月27日,十四層,,持分移轉
RPTNMLQKKHIGFAF97DA,28,9.90,共有部分,鋼筋混凝土造,84年7月27日,十四層,,持分移轉
RPQOMLQKKHIGFHF58EA,27,27.90,住家用,鋼筋混凝土造,84年9月25日,十四層,五層 見其他登記事項,全筆移轉
RPQOMLQKKHIGFHF58EA,27,6.08,共有部份,鋼筋混凝土造,84年9月25日,十四層,,持分移轉
RPWNMLSJKHIGFCF58DA,6,29.63,本建號共有部分項目有：資源回收室、發電機進排氣口、垃圾車車位、機車停車空間、台電配電場所、受電箱、電信機房、梯廳、游泳池機房、蓄水池、電表室、電氣機房、儲藏室、防空避難室、公共水箱、溫泉水箱、緊急發電機房、進氣管道、排氣管道、防空避難室兼停車場用、雨水回收機房、雨水貯留設施、消防泵浦室、高層建築緩衝空間、信箱區、排煙室、防災中心、公共服務空間、管委會空間、消防水箱、樓梯間、水箱、水表牆室、電梯機房等３４項。,鋼筋混凝土構造,106年3月24日,二十六層,,持分移轉
RPSNMLRKKHIGFEF48EA,15,22.57,住家用,鋼筋混凝土造,96年10月2日,十四層,五層 陽台,全筆移轉
RPSNMLRKKHIGFEF48EA,15,11.23,共有部份,鋼筋混凝土造,96年10月2日,十四層,,持分移轉
RPSNMLPKKHIGFBF97EA,7,105.08,集合住宅,鋼筋混凝土造,105年2月4日,九層,三層 陽台,全筆移轉
RPSNMLPKKHIGFBF97EA,7,50.64,本共有部分之項目有：大廳、門廳、門廊、公共服務空間、管委會使用空間、梯間、公共廁所、管理員室、停車空間、梯廳、垃圾儲藏室、垃圾裝卸車位、台電配電場所、受電箱、水景機房、電信室、機房、儲藏室、緊急發電機房、消防幫浦室、雨水回收機房等２１項。,鋼筋混凝土造,105年2月4日,十四層,,持分移轉
RPSNMLPKKHIGFBF97EA,7,25.67,本共有部分之項目有：梯廳、樓梯間、電梯間、水箱、機械室、蓄水池等６項。,鋼筋混凝土造,105年2月4日,九層,,持分移轉
RPTNMLRKKHIGFBF28EA,11,21.52,本共有部分之項目有迴廊、辦公室門廳、多功能會議室、才藝教室、門廳、管理員室、防災中心、公共廁所、視聽中心、公設門廳、兒童中心、棋藝室、管委會使用空間、雨遮、供公眾停車空間兼停車空間等１５項,鋼筋混凝土造,100年11月1日,十九層,,持分移轉
RPOOMLQKKHIGFAF57DA,7,29.36,集合住宅,鋼筋混凝土造,105年3月16日,十四層,六層 雨遮,全筆移轉
RPOOMLQKKHIGFAF57DA,7,25.82,本共有部分之項目有：全自動倉儲式昇降機、污水機房、樓梯間、消防泵浦機房、自來水水箱、停車空間、緊急昇降機坑、電梯機坑、緊急發電機室、汽車昇降設備、電樓梯間、緊急昇降機間兼排煙室、排風機房、管道間、垃圾儲藏室、客貨兩用昇降機、機房、安全梯、電信機房、台電配電室、防空避難室兼停車空間、梯廳、門廳、昇降機、車道、管理員室、辦公室、陽台、雨遮、管委會辦公室、交誼廳、洗衣間、教室、健身房、兒童遊戲室、多功能運動教室、消防水箱、消防水箱室、昇降梯機房、屋頂水箱等４０項。,鋼筋混凝土造,105年3月16日,十四層,,持分移轉
RPQNMLRKKHIGFBF97EA,32,35.29,防空避難室兼停車場,鋼筋混凝土造,80年3月9日,二十一層,地下二層 地下三層 見其他登記事項,持分移轉
RPPNMLRKKHIGFHF48EA,43,41.34,住家用,鋼筋混凝土造,69年1月29日,五層,五層 陽台,持分移轉
RPSPMLTJKHIGFBF38DA,15,88.58,住家用,鋼筋混凝土造,96年10月23日,十三層,十二層 陽台 雨遮,全筆移轉
RPSPMLTJKHIGFBF38DA,15,61.56,共有部份,鋼筋混凝土造,96年10月23日,十三層,,持分移轉
RPQNMLRKKHIGFDF18EA,40,24.75,見使用執照,鋼筋混凝土造,72年8月10日,000,地下一層,持分移轉
RPOOMLPKKHIGFBF57DA,28,32.28,住家用,鋼筋混凝土造,84年7月29日,十五層,十五層 陽台,持分移轉
RPOOMLPKKHIGFBF57DA,28,6.26,共有部分,鋼筋混凝土造,84年7月29日,十五層,,持分移轉
RPOOMLPKKHIGFBF57DA,28,.76,共有部分,鋼筋混凝土造,84年7月29日,十五層,,持分移轉
RPOQMLQJKHIGFEF08DA,23,88.54,住家用,鋼筋混凝土造,89年7月28日,十四層,十四層 陽台,全筆移轉
RPOQMLQJKHIGFEF08DA,23,.09,辦公室,鋼筋混凝土造,89年7月28日,十四層,一層,持分移轉
RPOQMLQJKHIGFEF08DA,23,.05,辦公室,鋼筋混凝土造,89年7月28日,十四層,二層 陽台,持分移轉
RPOQMLQJKHIGFEF08DA,23,.00,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPOQMLQJKHIGFEF08DA,23,3.96,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPOQMLQJKHIGFEF08DA,23,.00,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPOQMLQJKHIGFEF08DA,23,21.88,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPOQMLQJKHIGFEF08DA,23,.02,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPOQMLQJKHIGFEF08DA,23,.01,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPOQMLQJKHIGFEF08DA,23,.16,店舖,鋼筋混凝土造,89年7月28日,十四層,一層,持分移轉
RPOQMLQJKHIGFEF08DA,23,.02,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPOQMLQJKHIGFEF08DA,23,.05,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPUOMLSJKHIGFIF09DA,18,39.32,住家用,鋼筋混凝土造,94年6月9日,十五層,十二層 雨遮,全筆移轉
RPUOMLSJKHIGFIF09DA,18,6.50,共有部份,鋼筋混凝土造,94年6月9日,十五層,,持分移轉
RPUOMLSJKHIGFIF09DA,18,25.99,共有部份,鋼筋混凝土造,94年6月9日,十五層,,持分移轉
RPWOMLQKKHIGFHF09DA,22,60.16,集合住宅,鋼筋混凝土造,90年1月19日,十四層,八層 陽台 雨遮,持分移轉
RPWOMLQKKHIGFHF09DA,22,16.31,共有部份,鋼筋混凝土造,90年1月19日,十四層,,持分移轉
RPWOMLQKKHIGFHF09DA,22,11.66,共有部份,鋼筋混凝土造,90年1月19日,十四層,,持分移轉
RPQNMLSKKHIGFCF08DA,25,119.03,住家用,鋼筋混凝土造,87年1月2日,三層,二層 陽台,全筆移轉
RPQNMLSKKHIGFCF08DA,25,11.83,共有部分,鋼筋混凝土造,87年1月2日,三層,,持分移轉
RPQNMLSKKHIGFCF08DA,25,36.79,共有部分,鋼筋混凝土造,87年1月2日,三層,,持分移轉
RPXQMLTJKHIGFHF96DA,30,15.06,住家用,鋼筋混凝土造,81年8月19日,十層,九層,持分移轉
RPXQMLTJKHIGFHF96DA,30,.96,共有部份,鋼筋混凝土造,81年8月19日,十層,,持分移轉
RPXQMLTJKHIGFHF96DA,30,3.60,共有部份,鋼筋混凝土造,81年8月19日,十層,,持分移轉
RPUNMLRKKHIGFIF98DA,3,66.19,集合住宅,鋼筋混凝土造,109年3月11日,十五層,十五層 陽台 雨遮,全筆移轉
