編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLQJLHJGFBF08EA,30,26.53,一般廠房附屬停車空間,鋼筋混凝土造,83年5月26日,十層,地下一層,持分移轉
RPRNMLQJLHJGFBF08EA,30,1.68,共有部分,鋼筋混凝土造,83年5月26日,十層,,持分移轉
RPRNMLQJLHJGFBF08EA,30,2.60,共有部分,鋼筋混凝土造,83年5月26日,十層,,持分移轉
RPPNMLRKKHJGFDF18EA,41,11.99,共有部分,鋼筋混凝土造,71年10月13日,十四層,,持分移轉
RPPNMLRKKHJGFDF18EA,41,60.28,住家用,鋼筋混凝土造,71年10月13日,十四層,十四層 陽台,全筆移轉
RPQNMLPKKHJGFEF18EA,28,29.58,住家用,鋼筋混凝土造,85年4月30日,十二層,四層 陽台,全筆移轉
RPQNMLPKKHJGFEF18EA,28,8.01,共有部分,鋼筋混凝土造,85年4月30日,十二層,,持分移轉
RPQNMLPKKHJGFEF18EA,28,1.15,共有部分,鋼筋混凝土造,85年4月30日,十二層,,持分移轉
RPRNMLPKKHJGFDF08DA,24,42.35,停車空間,鋼筋混凝土造,88年12月9日,十層,地下一層,持分移轉
RPRNMLPKKHJGFDF08DA,24,1.16,共有部分,鋼筋混凝土造,88年12月9日,十層,,持分移轉
RPPNMLNJKHJGFAF27DA,47,25.42,住家用,加強磚造,65年8月30日,四層,二層,持分移轉
RPTNMLRKKHJGFEF68EA,48,32.50,住家用,加強磚造,65年6月29日,二層,一層 走廊,持分移轉
RPUNMLQKKHJGFAF18DA,15,46.78,住家用,鋼骨鋼筋混凝土造,98年7月24日,二十九層,十層 陽台 雨遮,全筆移轉
RPUNMLQKKHJGFAF18DA,15,10.80,共有部分,鋼骨鋼筋混凝土造,98年7月24日,二十九層,,持分移轉
RPUNMLQKKHJGFAF18DA,15,4.03,共有部分,鋼骨鋼筋混凝土造,98年7月24日,29,,持分移轉
RPUNMLQKKHJGFAF18DA,15,7.98,共有部分,鋼骨鋼筋混凝土造,98年7月24日,二十九層,,持分移轉
RPTPMLPKKHJGFGF78DA,25,18.42,商業用,鋼筋混凝土造,88年6月15日,五層,一層 陽台,全筆移轉
RPTPMLPKKHJGFGF78DA,25,5.83,共有部分,鋼筋混凝土造,88年6月15日,五層,,持分移轉
RPPNMLTKKHJGFEF48EA,33,25.99,住家用,鋼筋混凝土造,80年3月14日,七層,七層 陽台,全筆移轉
RPPNMLTKKHJGFEF48EA,33,7.11,共有部分,鋼筋混凝土造,80年3月14日,七層,,持分移轉
RPPNMLTKKHJGFEF48EA,33,1.09,共有部分,鋼筋混凝土造,80年3月14日,五層,,持分移轉
