編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLSJNHIGFEF48EA,23,.24,辦公室,鋼筋混凝土造,89年7月28日,十四層,一層 陽台,持分移轉
RPPNMLSJNHIGFEF48EA,23,.01,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPPNMLSJNHIGFEF48EA,23,.05,共有部份,鋼筋混凝土造,89年7月28日,十四層,,持分移轉
RPPNMLKKNHIGFBF47EA,40,99.51,住家用,鋼筋混凝土造,72年9月27日,五層,四層 陽台,全筆移轉
RPSNMLSJNHIGFDF68EA,25,64.96,防空避難室兼停車空間,鋼筋混凝土造,86年12月10日,十七層,,持分移轉
RPSOMLSJNHIGFDF68DA,43,87.03,住家用,鋼筋混凝土造,69年8月26日,四層,二層 陽台,全筆移轉
RPQNMLTJNHIGFBF38EA,7,36.34,集合住宅,鋼筋混凝土造,104年11月12日,十四層,十層 陽台,全筆移轉
RPQNMLTJNHIGFBF38EA,7,6.26,本共有部分之項目有供行動不便樓梯、Ａ１梯、Ａ２梯、Ｂ１梯、Ｂ２梯、供行動不便者使用電梯、緊急昇降機、排煙室〈梯廳〉、梯廳、排煙室、水箱、機械室、Ａ梯、Ｂ梯、梯間等１５項,鋼筋混凝土造,104年11月12日,十四層,,持分移轉
RPQNMLTJNHIGFBF38EA,7,38.03,本共有部分之項目有公共服務空間、梯廳、行動不便者使用電梯、供行動不便樓梯、Ａ２梯、Ａ１梯、Ｂ１梯、Ｂ２梯、排煙室、緊急昇降機、自行車停車空間、台電配電場所、行動不便坡道、發電機室、台電管道間、車道、停車空間、進風排風、垃圾儲存空間、垃圾車暫停空間、蓄水池、管委會空間、電信機房、蓄水池、消防機房等２５項,鋼筋混凝土造,104年11月12日,十四層,,持分移轉
RPTNMLSJNHIGFIF66EA,15,15.03,共有部份,鋼筋混凝土造,97年2月4日,十四層,,持分移轉
RPWPMLKKNHIGFEF58DA,25,51.86,住家用,鋼筋混凝土造,87年3月4日,十二層,六層 陽台,全筆移轉
RPWPMLKKNHIGFEF58DA,25,13.21,共有部份,鋼筋混凝土造,87年3月4日,十二層,,持分移轉
RPWPMLKKNHIGFEF58DA,25,1.14,共有部份,鋼筋混凝土造,87年3月4日,十二層,,持分移轉
RPVOMLLKNHIGFHF88EA,44,61.60,住家用,鋼筋混凝土造,68年8月31日,五層,一層 平台,持分移轉
RPVNMLLKNHIGFDF38EA,51,85.72,住家用,加強磚造,61年7月29日,三層,二層,全筆移轉
RPWNMLLKNHIGFDF48EA,51,85.72,住家用,加強磚造,61年8月18日,三層,三層,全筆移轉
RPOPMLNJNHIGFBF67DA,12,27.11,本共有部分之項目有管委會使用空間、基地內通路、車道空間、供公眾使用停車空間、台電配電場所、電信機房、騎樓、梯廳、蓄水池、發電機室、消防泵浦機房、污水處理機房、防空避難室兼停車空間等十三項,鋼筋混凝土造,100年7月18日,十二層,,持分移轉
RPPNMLMKNHIGFHF28EA,22,163.73,廠房、辦公室,鋼筋混凝土造,90年2月27日,十八層,六層,全筆移轉
RPPNMLMKNHIGFHF28EA,22,11.60,共有部份,鋼筋混凝土造,90年2月27日,十八層,,持分移轉
RPPNMLMKNHIGFHF28EA,22,25.25,共有部份,鋼筋混凝土造,90年2月27日,十八層,,持分移轉
RPPNMLMKNHIGFHF28EA,22,48.25,共有部份,鋼筋混凝土造,90年2月27日,十八層,,持分移轉
RPPNMLMKNHIGFHF28EA,22,67.50,共有部份,鋼筋混凝土造,90年2月27日,十八層,,持分移轉
RPSNMLMKNHIGFDF18EA,51,69.91,住家用,加強磚造,61年7月29日,三層,一層 騎樓,全筆移轉
RPUPMLLKNHIGFDF38DA,26,.07,住家用,鋼骨鋼筋混凝土造,86年1月11日,二十八層,一層,持分移轉
RPUPMLLKNHIGFDF38DA,26,22.06,地下二層停車空間及地下三層防空避難室兼停車空間,鋼骨鋼筋混凝土造,86年1月11日,二十八層,,持分移轉
RPUPMLLKNHIGFDF38DA,26,.02,台電配電室、緊急昇降機、樓梯間、電信機房、蓄水池、泵浦機房、頂蓋型開放空間、屋頂突出物、水箱、機房,鋼骨鋼筋混凝土造,86年1月11日,二十八層,,持分移轉
RPTPMLLKNHIGFAF97DA,13,35.20,住家用,鋼骨構造,99年7月15日,四十層,十三層,全筆移轉
RPQNMLPKNHIGFBF08EA,30,71.56,住家用,鋼筋混凝土造,81年12月15日,七層,四層 陽台,全筆移轉
RPTPMLLKNHIGFAF97DA,13,2.56,本共有部分之項目有：樓梯間、台電配電室、走道、車道、停車空間、電信機房、梯間、管道間、消防泵浦室、消防水箱、機房、機械室、水箱等１３項,鋼骨構造,99年7月15日,四十六層,,持分移轉
RPQNMLPKNHIGFBF08EA,30,5.91,共有部份,鋼筋混凝土造,81年12月15日,七層,,持分移轉
RPTPMLLKNHIGFAF97DA,13,3.87,本共有部分之項目有：頂蓋型開放空間、電梯、樓梯間、社區服務空間１．２．３、廁所、走廊、機車停車空間、梯廳、排煙室、社區服務空間健身房、梯間、機房、機車車道、高壓電表室、發電機室、機械室、電信機房、停車空間、健身房機械室等１９項,鋼骨構造,99年7月15日,四十六層,,持分移轉
RPTPMLLKNHIGFAF97DA,13,13.34,本共有部分之項目有：梯廳、電梯、樓梯間、升降機緩衝機坑、自來水箱、消防水箱、機械室、水箱、排煙室、走廊、梯間、電樓梯間等１２項,鋼骨構造,99年7月15日,四十層,,持分移轉
RPPOMLKKNHIGFDF67DA,25,.06,管理員室,鋼筋混凝土造,87年7月10日,十四層,地下一層,持分移轉
RPPOMLKKNHIGFDF67DA,25,.00,共有部份,鋼筋混凝土造,87年7月10日,十四層,,持分移轉
RPPOMLKKNHIGFDF67DA,25,.00,共有部份,鋼筋混凝土造,87年7月10日,十四層,,持分移轉
RPPOMLKKNHIGFDF67DA,25,.00,共有部份,鋼筋混凝土造,87年7月10日,十四層,,持分移轉
RPPOMLKKNHIGFDF67DA,25,29.38,共有部份,鋼筋混凝土造,87年7月10日,十四層,,持分移轉
RPQNMLPJNHIGFDF08DA,5,18.17,本建物共有部份計有：梯廳、樓梯、陽台、雨遮、客貨兩用昇降機、發電機室、台電受電箱、垃圾處理空間、電信機房、台電配電室、停車空間、防空避難室兼停車空間、停車場排風機、自來水蓄水池、機房、消房機房、停車場進風機、管委會空間、日用屋頂水箱、電梯機房等共２０項。,鋼筋混凝土,107年3月7日,十三層,,持分移轉
RPTNMLNKNHIGFEF38DA,27,.21,共有部份,鋼筋混凝土造,85年5月28日,七層,,持分移轉
RPTNMLNKNHIGFEF38DA,27,36.68,住家用,鋼筋混凝土造,85年5月29日,十六層,八層 陽台 花台,全筆移轉
RPTNMLNKNHIGFEF38DA,27,5.69,共有部份,鋼筋混凝土造,85年5月29日,十六層,,持分移轉
RPPNMLMKNHIGFAF57EA,23,41.54,店舖,鋼骨混凝土造,89年10月12日,二十二層,一層 騎樓,全筆移轉
RPPNMLMKNHIGFAF57EA,23,42.96,辦公室,鋼骨混凝土造,89年10月12日,二十二層,二層,全筆移轉
RPPNMLMKNHIGFAF57EA,23,6.70,共有部份,鋼骨混凝土造,89年10月12日,二十二層,,持分移轉
RPPNMLMKNHIGFAF57EA,23,12.03,共有部份,鋼骨混凝土造,89年10月12日,二十二層,,持分移轉
RPXNNLQKNHIGFEF56DA,27,101.56,住家用,鋼筋混凝土造,85年5月28日,七層,七層 陽台 花台,全筆移轉
RPXNNLQKNHIGFEF56DA,27,1.76,共有部份,鋼筋混凝土造,85年5月28日,七層,,持分移轉
RPXNNLQKNHIGFEF56DA,27,30.66,共有部份,鋼筋混凝土造,85年5月28日,七層,,持分移轉
RPXNNLQKNHIGFEF56DA,27,9.74,共有部份,鋼筋混凝土造,85年5月28日,七層,,持分移轉
RPXNNLQKNHIGFEF56DA,27,.57,共有部份,鋼筋混凝土造,85年5月28日,七層,,持分移轉
RPWOMLMKNHIGFHF98DA,30,27.38,住家用,鋼筋混凝土造,82年9月3日,九層,三層 陽台,全筆移轉
RPWOMLMKNHIGFHF98DA,30,12.49,共有部份,鋼筋混凝土造,82年9月3日,九層,,持分移轉
RPTNMLMKNHIGFDF18DA,28,70.51,住家用,鋼筋混凝土造,83年12月24日,十六層,七層 陽台,全筆移轉
RPTNMLMKNHIGFDF18DA,28,5.35,共有部份,鋼筋混凝土造,83年12月24日,十六層,,持分移轉
RPUOMLMKNHIGFDF38DA,26,57.52,住家用,鋼筋混凝土造,85年11月16日,十四層,三層 陽台,全筆移轉
RPUOMLMKNHIGFDF38DA,26,8.70,樓梯間,鋼筋混凝土造,85年11月16日,十四層,,持分移轉
RPUOMLMKNHIGFDF38DA,26,45.76,防空避難室、停車空間、公共空間、樓梯間、機械室、水箱、門廳、瞭望室,鋼筋混凝土造,85年11月16日,十四層,,持分移轉
RPTNMLPKNHIGFBF38EA,50,67.56,住家用,加強磚造,62年5月4日,二層,一層 二層,全筆移轉
RPPNMLQKNHIGFGF58EA,9,75.09,住家用,鋼筋混凝土造,103年7月11日,十四層,十層 陽台 雨遮,全筆移轉
RPPNMLQKNHIGFGF58EA,9,10.72,本共有部分項目有：梯廳等１項。,鋼筋混凝土造,103年7月11日,十四層,,持分移轉
RPPNMLQKNHIGFGF58EA,9,24.67,本共有部分項目有：防空避難室兼停車空間、發電機室、機車昇降機、消防水箱、騎樓、門廳、花台、陽台、樓梯間、電信機房、安全梯、電梯機房、水箱等１３項。,鋼筋混凝土造,103年7月11日,十四層,,持分移轉
RPPPMLLKNHIGFIF38DA,,83.10,住家用,鋼筋混凝土造,,四層,四層 陽台,全筆移轉
RPXNMLLKNHIGFEF58DA,10,68.84,住家用,鋼筋混凝土造,102年8月28日,十五層,九層 陽台 雨遮,持分移轉
RPXNMLLKNHIGFEF58DA,10,47.41,本案共有部分項目有樓梯間、６米基地內通路、廊道、管委會空間、車道、陽台、停車空間、台電配電場所、發電機房、電信機房、防空避難室兼停車空間、蓄水池、消防泵埔室、污水機房等１４項,鋼筋混凝土造,102年8月28日,十五層,,持分移轉
RPXNMLLKNHIGFEF58DA,10,13.11,本案共有部分項目有樓梯間、機械室、水箱等３項,鋼筋混凝土造,102年8月28日,十五層,,持分移轉
RPOPMLPKNHIGFBF97DA,8,29.40,本共有部分項目有梯廳、台電配電場所、自行車停車區、消防機電設備空間、管委會使用空間、防災中心、走道、防空避難室兼停車空間、停車空間等９項。,鋼筋混凝土造,103年11月20日,十九層,,持分移轉
RPWOMLMKNHIGFAF28DA,12,212.42,住家用,鋼骨鋼筋混凝土造,99年12月17日,三十三層,二十九層 陽台,全筆移轉
RPWOMLMKNHIGFAF28DA,12,8.79,本共有部分項目有：管道間、防災中心、門廊、陽台、雨水回收機房、雨污水污水機房、機房、台電專用管道間等８項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPPNMLRKNHIGFBF18EA,11,145.75,集合住宅,鋼筋混凝土造,101年4月25日,十七層,十一層 陽台 雨遮,全筆移轉
RPWOMLMKNHIGFAF28DA,12,29.90,本共有部分項目有：電梯間、進氣機房、公共電氣室、消防泵浦機房、排風機房、機房、住宅污水處理機房、住宅用垃圾處理空間、電梯機坑、管道間、台電配電場所Ｅ、緊急發電機室、自設高壓變電室、空調主機房、停車位、門廳、泳池水箱、管理委員會管理維護中心、公用水箱、休息室、洗車區、儲藏室、機車停車空間、入口門廳、陽台、門廳、管理中心、游泳池、辦公室、兒童遊戲室、桌球室、撞球室、多功能室、多媒體室、橋牌室、健身中心、保健室、瑜珈室、圖書室等３９項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPPNMLRKNHIGFBF18EA,11,24.79,本共有部分之項目有樓梯間等１項。,鋼筋混凝土造,101年4月25日,十七層,,持分移轉
RPWOMLMKNHIGFAF28DA,12,62.06,本共有部分項目有：電樓梯間、排煙室、梯廳、住宅蓄水池Ａ、泵浦室、台電配電場所Ａ、門廳、樓梯間、機房、水箱間、電梯機房、陽台、電錶室、信箱間等１４項。,鋼骨鋼筋混凝土造,99年12月17日,三十三層,,持分移轉
RPPNMLRKNHIGFBF18EA,11,92.57,本共有部分之項目有防空避難室兼停車空間、停車空間、供公眾使用停車空間、涼亭、樓梯間、受電室、公共服務空間１－４、水箱、機械室等９項。,鋼筋混凝土造,101年4月25日,十七層,,持分移轉
RPWOMLMKNHIGFAF28DA,12,.15,本共有部分項目有：電信機房等１項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPWOMLMKNHIGFAF28DA,12,112.20,本共有部分項目有：停車空間等１項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPWOMLMKNHIGFAF28DA,12,3.31,本共有部分項目有：車道、裝卸停車位等２項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPSPMLMKNHIGFGF58DA,33,113.65,住家用,鋼筋混凝土造,79年8月24日,五層,三層 陽台,全筆移轉
RPSPMLMKNHIGFGF58DA,33,2.44,共有部份,鋼筋混凝土造,79年8月24日,五層,,持分移轉
RPQQMLSJNHIGFBF48DA,31,17.18,防空避難室兼停車場,鋼筋混凝土造,81年3月17日,七層,地下層,持分移轉
RPTOMLPKNHIGFDF58DA,42,75.86,住家用,鋼筋混凝土造,70年5月6日,四層,二層 陽台,全筆移轉
RPPPMLSJNHIGFAF18DA,,34.87,住家用,鋼筋混凝土造,,十二層,六層 陽台 花台 雨遮,持分移轉
RPPPMLSJNHIGFAF18DA,,4.18,共有部份,鋼筋混凝土造,,十二層,,持分移轉
RPXNMLSJNHIGFCF98DA,,79.14,集合住宅,鋼筋混凝土構造,111年11月10日,七層,七層 陽台,全筆移轉
RPXNMLSJNHIGFCF98DA,,67.05,本共有部分之項目有：機車停車空間、管委會空間、梯廳、一般安全梯、１２人份供行動不便者使用昇降機、１２人份使用昇降機、（無障礙樓梯）一般安全梯大廳、騎樓、樓電梯間、機房、消防水箱、電梯機房、日用水箱、防空避難室兼停車空間、發電機房、電信室、防火電動風門、污水處理設備、台電配電場所、停車空間、幫浦室、卸車位、Ａ棟日用水箱、Ｂ棟日用水箱、Ｃ棟日用水箱等２６項。,鋼筋混凝土構造,111年11月10日,七層,,持分移轉
RPXOMLMKNHIGFAF38DA,12,210.77,住家用,鋼骨鋼筋混凝土造,99年12月17日,三十三層,二十九層 陽台,全筆移轉
RPXOMLMKNHIGFAF38DA,12,8.70,本共有部分項目有：管道間、防災中心、門廊、陽台、雨水回收機房、雨污水污水機房、機房、台電專用管道間等８項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPXOMLMKNHIGFAF38DA,12,29.60,本共有部分項目有：電梯間、進氣機房、公共電氣室、消防泵浦機房、排風機房、機房、住宅污水處理機房、住宅用垃圾處理空間、電梯機坑、管道間、台電配電場所Ｅ、緊急發電機室、自設高壓變電室、空調主機房、停車位、門廳、泳池水箱、管理委員會管理維護中心、公用水箱、休息室、洗車區、儲藏室、機車停車空間、入口門廳、陽台、門廳、管理中心、游泳池、辦公室、兒童遊戲室、桌球室、撞球室、多功能室、多媒體室、橋牌室、健身中心、保健室、瑜珈室、圖書室等３９項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPXOMLMKNHIGFAF38DA,12,61.34,本共有部分項目有：電樓梯間、排煙室、梯廳、住宅蓄水池Ａ、泵浦室、台電配電場所Ａ、門廳、樓梯間、機房、水箱間、電梯機房、陽台、電錶室、信箱間等１４項。,鋼骨鋼筋混凝土造,99年12月17日,三十三層,,持分移轉
RPXOMLMKNHIGFAF38DA,12,.15,本共有部分項目有：電信機房等１項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPXOMLMKNHIGFAF38DA,12,112.20,本共有部分項目有：停車空間等１項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPXOMLMKNHIGFAF38DA,12,3.31,本共有部分項目有：車道、裝卸停車位等２項。,鋼骨鋼筋混凝土造,99年12月17日,三十七層,,持分移轉
RPROMLQKNHIGFBF28DA,43,86.73,住家用,鋼筋混凝土造,69年5月15日,五層,三層 陽台,全筆移轉
RPPPMLPJNHIGFBF97DA,3,277.13,集合住宅,鋼骨構造,109年8月6日,四十一層,十六層 陽台 雨遮,全筆移轉
RPPPMLPJNHIGFBF97DA,3,82.56,本共有部分之項目有陽台、風除室、門廳、儲藏室、安全梯Ｃ１、安全梯Ｃ２、發電機室排氣管道、發電機室進氣管道、排煙管管道、社區管委會使用空間（會議室使用）、走廊、梯廳、半戶外休憩區、管理室、女廁、男廁、地下停車空間、機車停車空間、自行車停車空間、緊急升降機兼行動不便電梯、汽車坡道、機車坡道、樓電梯間Ａ、樓電梯間Ｂ、排煙室、排風管道、進風管道、進氣管道、排氣管道、排氣風機、進氣風機、進氣風機室、安全梯Ａ１、安全梯Ａ３、安全梯Ｂ１、安全梯Ｂ３、廁所、電氣室、電表室、前室、受電箱、防災中心、台電配電場所Ａ、台電配電場所Ｂ、垃圾處理空間、垃圾車停車位、行動不便停車位、臨時車位、裝卸車位、景觀機房、高低壓變電站、發電機室、發電機室排氣管道、發電機室進氣管道、泳池補給水箱、機電設備空間、電信室、揚水泵浦室、消防機房、雨水回收機房、蓄水箱等６１項。,鋼骨構造,109年8月6日,四十一層,,持分移轉
RPPPMLPJNHIGFBF97DA,3,53.94,本共有部分之項目有梯廳、排煙室、特別安全梯Ｂ１、特別安全梯Ｂ２、安全梯Ｂ２、安全梯Ｂ４、安全梯Ｂ５、安全梯Ｂ６、安全梯Ｂ７、門廳、男廁、女廁、工具室、緊急升降機兼行動不便電梯、廁所、機電設備空間、梯廳兼排煙室、排煙窗、排煙機、中繼水箱、樓梯間、樓梯Ｂ４、樓梯Ｂ５、樓梯Ｂ６、樓梯Ｂ７、電梯坑道、水表室、消防水塔、電梯機房、蓄水箱機房等３０項,鋼骨構造,109年8月6日,四十一層,,持分移轉
RPPPMLPJNHIGFBF97DA,3,21.62,本共有部分之項目有梯廳等１項,鋼骨構造,109年8月6日,四十一層,,持分移轉
RPTNMLLJNHIGFBF77DA,13,61.64,日用品零售業,鋼筋混凝土造,99年1月5日,十三層,一層 陽台 見其他登記事項,全筆移轉
RPTNMLLJNHIGFBF77DA,13,51.01,本共有部分之項目有停車空間、垃圾暫存空間、台電配電廠所、機房、發電機房、蓄水池、水箱、車道、公共空間、樓梯間、梯廳、管委會空間、電信機房等１３項,鋼筋混凝土造,99年1月5日,十五層,,持分移轉
RPQOMLRKNHIGFGF78DA,50,18.98,住家用,鋼筋混凝土造,62年7月30日,四層,二層 陽台,持分移轉
RPQNMLRKNHIGFBF28EA,2,42.80,集合住宅,鋼筋混凝土造,110年10月25日,九層,三層 陽台 雨遮,全筆移轉
