編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTJRHJGFFF56EA,60,33.86,住家用,木石磚造〈磚石造〉,54年1月10日,一層,一層,全筆移轉
RPPPMLMKQHJGFBF18DA,11,594.74,住宅,鋼筋混凝土造,102年8月22日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮,全筆移轉
RPPPMLMKQHJGFBF18DA,11,339.67,本共有部份之項目有停車空間、梯廳、機房、管理室、消防幫浦室、發電機室、水箱等７項。,鋼筋混凝土造,102年8月22日,三層,,持分移轉
RPQNMLNKQHJGFEF58EA,17,24.21,住家用,鋼筋混凝土造,96年10月2日,十四層,十三層 陽台,全筆移轉
RPQNMLNKQHJGFEF58EA,17,12.18,共有部份,鋼筋混凝土造,96年10月2日,十四層,,持分移轉
RPVNMLNKQHJGFIF76DA,2,65.69,集合住宅,鋼筋混凝土造,111年10月18日,十五層,十二層 陽台 雨遮,全筆移轉
RPVNMLNKQHJGFIF76DA,2,61.06,本共有部分之項目有：消防設備室、排煙室、機房、排風、升降機、水箱、汙水機房、車道、安全梯、電信室、台電配電場所、發電機室、受電箱、垃圾暫存區、防空避難室兼停車空間、管理室、門廊、大廳、管理委員會使用空間、梯廳、消防專用蓄水筒、停車空間、樓梯間等２３項。,鋼筋混凝土造,111年10月18日,十五層,,持分移轉
RPSQMLRJQHJGFDF56DA,28,19.96,配電室、停車空間、停車空間兼防空避難室、開放空間、門廳、電樓梯間、中繼水箱、消防水池、水錶室、屋頂突出物,鋼骨鋼筋混凝土造,85年7月10日,二十四層,,持分移轉
RPSQMLRJQHJGFDF56DA,28,.24,商業用,鋼骨鋼筋混凝土造,85年7月10日,二十四層,地下一層,持分移轉
RPSQMLRJQHJGFDF56DA,28,35.97,商業用,鋼骨鋼筋混凝土造,85年7月10日,二十四層,,持分移轉
RPPNMLPKQHJGFFF68DA,,91.26,住家用,鋼筋混凝土造,,三層,一層,全筆移轉
RPUQMLSJQHJGFEF96DA,25,80.32,住家用,鋼筋混凝土造,88年8月6日,二十三層,二十三層 陽台 雨遮,全筆移轉
RPUQMLSJQHJGFEF96DA,25,15.83,共有部份,鋼筋混凝土造,88年8月6日,二十三層,,持分移轉
RPUQMLSJQHJGFEF96DA,25,2.99,共有部份,鋼筋混凝土造,88年8月6日,二十三層,,持分移轉
RPUQMLSJQHJGFEF96DA,25,4.83,共有部份,鋼筋混凝土造,88年8月6日,二十三層,,持分移轉
RPRNMLNKQHJGFHF98EA,50,91.13,集合住宅,Ｒ．Ｃ造,64年1月24日,四層,三層 陽台,全筆移轉
RPPOMLQJQHJGFGF88DA,4,2.21,本共有部分之項目有停車塔、ＣＯ２鋼瓶室等２項,鋼筋混凝土造,109年6月1日,十五層,,持分移轉
RPWOMLTJQHJGFBF76DA,28,23.48,住家用,鋼筋混凝土造,86年1月29日,九層,五層 陽台,全筆移轉
RPWOMLTJQHJGFBF76DA,28,6.36,共有部份,鋼筋混凝土造,86年1月29日,九層,,持分移轉
RPWOMLTJQHJGFBF76DA,28,6.14,共有部份,鋼筋混凝土造,86年1月29日,九層,,持分移轉
RPQNMLPKQHJGFAF38EA,5,.16,工業發展有關設施（工業產品展示服務業）,鋼筋混凝土造,108年6月25日,十九層,一層,持分移轉
RPQNMLPKQHJGFAF38EA,5,35.00,本共有部分之項目有：管委會使用空間（一）、管委會使用空間（二）、管委會使用空間（三）、管委會使用空間（四）、管委會使用空間（五）、管委會使用空間（六）、門廳、排煙室Ａ、排煙室Ｂ、排煙室Ｃ、特安梯（Ａ）、特安梯（Ｂ）、特安梯（Ｃ）、無障礙廁所、緊急電管道、電力管道、防災中心、洗手間、茶水空間、管理員室、停獎專用出入口、給排水管道、梯廳、消防管道、弱電管道、行動不便者電梯、電梯１、電梯２、電梯３、電梯４、緊急升降機、排煙管道、進氣管道、走道、特安全梯（Ａ梯）、特安全梯（Ｂ梯）、安全梯（Ａ梯）、樓梯Ａ、排煙室、機房、設備空間、水錶機房、消防水箱機房、消防水箱、電梯機房、水箱機房、水箱、排氣管道、排氣機房、緊急電管、汽車停車空間、進風管道、電梯機坑、管道間、廁所、緊急發電機房、景觀循環過濾機房、汽車道、機車道、垃圾回收室、垃圾車裝卸車位、電錶室、受電箱區、台電配電場所、機車停車空間、台電管道間、電信管道間、停車空間、消防管道間、中繼水箱、連結中繼水箱機房、電信機房、防空避難室停車空間、噴灌機房、消防泵浦室、汙水機房、自來水泵浦機房等７８項。,鋼筋混凝土造,108年6月25日,十九層,,持分移轉
RPTOMLSJQHJGFDF56DA,28,56.84,住家用,鋼筋混凝土造,85年8月9日,二十五層,六層 陽台 花台,持分移轉
RPRNMLRJQHJGFBF58DA,4,28.51,本共有部分之項目有消防機房、機房、梯廳、樓梯、雨水回收機房、停車空間、水箱、管道、電信機房、垃圾儲藏室、防災中心、緊急發電機室、電表室、垃圾車位、台電配電室、防空避難室兼停車空間、門廳、門廊、頂蓋型開放空間、供管委會使用空間、車道、安全梯、廁所、陽台、會議室、中繼機房、電梯機房等２７項,鋼骨鋼筋混凝土造,109年3月30日,二十五層,,持分移轉
RPTOMLSJQHJGFDF56DA,28,20.08,停車空間兼防空避難室,鋼筋混凝土造,85年8月9日,二十五層,,持分移轉
